Interview_ID,Response,Theme,Subtheme,Respondent_Type,Respondent_Affiliation,Location,Contextual_Clues,Contradictions,Additional_Notes
R6,"The very foundation of Indian culture is coexistence. Coexistence means that people can live together in harmony. This idea of coexistence is what defines Indian culture, and our culture is deeply rooted in this principle. The very essence of Indian culture is found in the village, which is why it is said that the soul of India resides in its villages. Villages represent family and neighborhood, coexistence and mutual dependence. This interconnected existence is democracy itself. We keep emphasizing the significance of the village because it is here that people live together, care for each other, and seek solutions that benefit all equally. This is the essence of democracy. It is about having the right to make decisions within one’s own domain, and when that domain expands, decision-making becomes collective. Individual leadership and collective leadership both coexist within this framework. If one were to deeply research this and conduct an extensive study, scientifically, many profound insights would emerge. My point is simply that all these elements are deeply ingrained in democracy.",Democracy_Features,Substantive_Democracy,Government,JMM,Jharkhand,NA,NA,"Democracy  is indeed multifaceted for this respondent. It is coexistence, justice, freedom, liberty, dialogue, mutual understanding, and so on."
R8,"If we take fundamental rights as a basis, for example, the right to practice any religion, the right to worship in one’s own way, and the right to propagate one's religion—this can be a major parameter.",Democracy_Features,Substantive_Democracy,Civil,SFI,Delhi,Context of fundamental rights as defined in the Constitution.,NA,NA
R9,"Democracy means ""everyone together, everyone’s progress."" (Sabka Saath, Sabka Vikaas). This is the essence of democracy. The difference between democracy and monarchy is that, in a democracy, the son of a peon or a tea seller can also reach the highest seat of power, while in a monarchy, this is not possible.",Democracy_Features,Substantive_Democracy,Party,BJP,India,"""Sabka saath, sabka vikaas"" is a slogan from the manifesto of the BJP. Also, the journey of Modi from being a tea seller to the Prime Minister is being used to justify the place of democracy. ",NA,Their definition of democracy is both intertwined with the developmental motto of the BJP and in opposition to monarchy.
R9,"India’s democratic system is unique in that no one is superior or inferior to anyone else. Our Constitution is designed in such a way that external forces cannot directly impose decisions on us, nor can anyone within the country unilaterally seize power. Let me give an example: when a notification is issued by the Honorable President of India, it first requires approval from the Cabinet led by the Prime Minister, and only then does the President sign it. This is a key difference between India and neighboring countries like Pakistan, Burma (Myanmar), and Nepal. In those nations, power is often seized by force, typically by the military. In India, such a scenario is impossible. The military does not dominate the nation, nor does the nation dominate the military; there is a perfect balance. India’s democracy ensures that everyone plays their role—whether it is the government, the judiciary, or any other institution. The government performs its responsibilities, the judiciary handles justice, and the military safeguards the nation without interfering in governance. This balance is the hallmark of true democracy.",Democracy_Features,Substantive_Democracy,Party,BJP,India,Context of comparison with neighbouring countries to highlight India's experience with democracy.,NA,"It is interesting that a member of the ruling party criticised with undermining the democracy of India through the concentration of power at the national level is also the one highlighting balance of powers as essential for democracy, even going to the extent of specifying that the Constitution does not allow anyone to dominate the nation. Perhaps this only extends to the military for the respondent. Also, it will become clear as we go on that many respondents from the BJP tend to repeatedly compare Indian democracy with the lack of democracy in neighbouring countries as a testament to its strength and continued existence."
R9,"There is a symbiotic relationship between development and democracy. By symbiotic, I mean that one cannot truly exist without the other—they are interdependent…. Democracy means giving everyone the freedom to voice their opinions and concerns. However, democracy alone cannot satisfy people's needs without development. When development occurs, people’s grievances naturally reduce, and the voices of dissatisfaction start diminishing. That’s why development must progress hand-in-hand with democracy. Without development, democracy would lose its essence because it would fail to address the needs of the people.",Democracy_Features,Substantive_Democracy,Party,BJP,India,"Context of ""Sabka Saath, Sabka Vikaas"" in the BJP's manifesto being important to the emphasis on development.",NA,NA
R9,"The basic criterion is that we should retain the right to express ourselves freely, without anyone suppressing us. Suppression means that no one should dominate us. We should be able to pursue our own development, gain education, work anywhere in the country or the world, and live freely. Without democracy, under systems like monarchy, you cannot act as per your own will. In a democracy, you can work freely while adhering to the state's rules. Without democracy, where authoritarianism prevails, you must act only according to the will of those in power, and you lack personal freedom. For instance, if you go to Thailand—a highly developed area where people travel for various purposes, including leisure—you will find it is a monarchy. There, it is mandatory to display the king's photo in every shop or restaurant. People are forced to display it. In India, however, it’s not mandatory to display the Prime Minister or President's photo everywhere except in government offices. This is the key difference between a democracy and a monarchy—democracy allows freedom, while monarchy imposes restrictions.",Democracy_Features,Substantive_Democracy,Party,BJP,India,Compares the context of mandatory person worship in Thailand under monarchy to the lack thereof under Indian democracy.,"The respondent asserted that it is not mandatory to play the PM's photo in India except in government offices. I then asked him about the directive of the government which made it compulsory for any public event to display the photo of the PM, as well as the immense public advertisements by the BJP which essentially did make it so that the PM's photo is in every public space such as metros. To this, the respondent only had to say that the people did this voluntarily out of their love for the PM.",NA
R10,"Every person in India has his own glasses to see democracy… Mostly, this is a highly misunderstood concept where people think that only casting their vote once in every five years in elections is democracy. I believe that simply voting once every five years is not democracy. After voting, in the remaining 365 into 5 minus 1 days that are left, meeting the eyes of the person you elected after casting your vote, asking questions of them, and holding them responsible and accountable for their acts, that is democracy. And this is what gives power to a country, a nation, a society or a group of citizens—not just by voting once. This is a practical definition.",Democracy_Features,Substantive_Democracy,Government,AAP,Delhi,"Respondent's definition of democracy is somewhat tied to the context of his membership in the AAP, which also advocates for a service-based politics in its manifesto.",NA,NA
R10,"MP/MLAs should be like postmen: those who bring public problems to the cabinet, bring them to the house, and legislate such policies which address these problems. This is the purest form of democracy.",Democracy_Features,Substantive_Democracy,Government,AAP,Delhi,Same context of party membership.,NA,NA
R11,"Because if seen from the perspective of academic training, democracy is multifaceted. It’s not just about electing your representative every five years, it’s deliberative, it’s also giving space to many social movements, political movements, movements which are beyond party politics.",Democracy_Features,Substantive_Democracy,Media,Neutral,India,"Ties it to the context of recent protests being necessary for democracy in India, such as Farmers protest, Shaheen Bagh protests, and so on. ",NA,"Democracy highlighted as multifaceted: deliberative, inclusive, mobilization, and so on."
R11,"Democracy has a very wide definition. Everyone should be included, I think… That, in the overall picture of democracy, which has publics in different sections of the society—either caste, or class, or ethnicities—whether they are able to find their space or not.",Democracy_Features,Substantive_Democracy,Media,Neutral,India,NA,NA,NA
R11,"See, because ultimately, democracy in India by nature is about championing and allowing the expression of regional sentiments or regional forces. So, the idea of democracy, you know, is strengthened if regional aspirations are allowed or given space to express themselves. Number one.",Democracy_Features,Substantive_Democracy,Media,Neutral,India,Context of regional politics,NA,Highlights that space for regional aspirations and political forces is important for democracy. The fourth person to do so now.
R11,"And for India, I think many people value its institutional dimension—that is, independent institutions, particularly judiciary and media. These are the two key institutions...very important in democracy apart from the other three. Second, the issue of accountability is also very important. Accountability of the legislature as well as other institutions to the public.",Democracy_Features,Substantive_Democracy,Media,Neutral,India,NA,NA,Institutions and their accountability also highlited as important for democracy.
R11,"I think we should all strive for free and fair elections, independent institutions, including an independent judiciary and critical media, social and political movements. These are the important factors that if they are getting strengthened, I think democracy in India will survive. But if these tendencies are crushed and unable to find proper space, democracy is in danger.",Democracy_Features,Substantive_Democracy,Media,Neutral,India,NA,NA,NA
R13,"That is one aspect—choosing representatives based on voting. Another important aspect is that once a government is formed, even with a majority, it remains concerned about whether its actions are acceptable to the people, whether the public will approve them. There is a constant fear within governments that opposition parties will highlight any shortcomings or mistakes, which could damage their popularity. They fear creating an image in the public that suggests they are unfit to govern.",Democracy_Features,Substantive_Democracy,Party,BJP,Uttarakhand,NA,NA,"Respondent highlights the role of accountability and more importantly of the opposition, despite being affiliated with the incumbent."
R13,"This fear extends to elected representatives as well, such as Members of Legislative Assemblies (MLAs). Every MLA worries about how they can secure re-election, about how to maintain or build their popularity among the public. While some succeed in this effort, others fail. But some go on to win repeatedly, serving multiple terms—three, four, five, even eight times. For example, in Dehradun, there was Harbans Kapoor, who served as an MLA for eight terms and remained in office until his death. This shows how representatives, influenced by or fearful of this democratic system, strive to adhere to its core principles—engaging with the public, solving their problems, and addressing their grievances.",Democracy_Features,Substantive_Democracy,Party,BJP,Uttarakhand,Context of Dehradun state elections,"The respondent highlighted throughout that an important part of democracy is being able to vote out incumbents who do not perform well. At the same time, the example they give to demonstrate their point is one of the incumbent not being voted out and managing to stay in power for several terms, which to them is strong democracy. I do not understand how this demonstrates representatives always being fearful of the public, especially since we do not hear whether that MLA actually served the people well or not.",NA
R13,"Leaders here are often available at any hour. For example, if someone in a neighbourhood doesn't have water, they might call their representative at 7:30 AM. The representative must attend to the call; if not, they risk being criticized. Even at 10 PM, if there's a dispute in someone's home, people will call their MLA, asking them to contact the police. The MLA must take the call, even late at night. I have seen representatives attend to emergencies at 1 or 2 AM, going to police stations or standing by their constituents to fight for their rights. This is the strength of our democracy—that our representatives, elected by the people, are directly accountable to the public.",Democracy_Features,Substantive_Democracy,Party,BJP,Uttarakhand,Personal and anecdotal experiences,"I do want to point out one thing. The respondent makes it a point to emphasise how one of the strengths of Indian democracy is that MLAs and politicians are available to the public 24/7 on call, including themselves. But in my own experience, I could not get in touch with them through cell or email for many weeks until finally resorting to contacts in their networks to secure an interview.",NA
R13,"Whether in urban areas like municipalities and municipal corporations, or in states through legislative assemblies, or at the national level in the Lok Sabha, this accountability is embedded in the system. As our democracy and Constitution have completed 75 years, we see a gradual increase in public awareness and the sense of responsibility among representatives toward their constituents. This accountability strengthens with time, forming the backbone of our democracy.",Democracy_Features,Substantive_Democracy,Party,BJP,Uttarakhand,NA,NA,NA
R17,"One of the great features of democracy is the provision of reservations. This ensures that different segments of society are represented, allowing everyone’s voice to reach the system. Based on the needs of these groups, rules and policies can be created so that everyone has equal opportunities to grow and move forward. This inclusivity is one of the greatest beauties of our democracy.",Democracy_Features,Substantive_Democracy,Government,BJP,Uttarakhand,Context of reservations and the respondent being a sitting MLA of an SC reserved seat themselves. ,NA,Reservations are necessary for democracy as proxy for inclusivity.
R18,"The word ""democracy"" is a very significant term. Since India gained independence in 1947, this word has been widely used. Today, as we live in a democratic system, I believe that democracy is closely aligned with our Constitution and laws. Essentially, democracy is what we also call ""prajatantra"" (rule of the people).",Democracy_Features,Substantive_Democracy,Government,BJP,Uttarakhand,NA,NA,NA
R18,"The most essential aspect of democracy is that there should be development for everyone. There should be unity, collective progress, and mutual support in times of joy and sorrow. Valuing everyone's emotions and respecting their feelings is the core of democracy.",Democracy_Features,Substantive_Democracy,Government,BJP,Uttarakhand,"Context of ""Sabka Saath, Sabka Vikaas"" in the BJP's manifesto being important to the emphasis on development.",NA,NA
R18,"I don’t think anyone can truly be contrary to democracy because, if someone opposes democracy, how can they be considered a citizen of India? Democracy allows people to express a variety of sentiments. Everyone has the freedom to voice their feelings, and doing so is not wrong. However, these sentiments can sometimes head in the wrong direction. It then becomes the responsibility of senior citizens or experienced representatives to guide and educate them.",Democracy_Features,Substantive_Democracy,Government,BJP,Uttarakhand,NA,"It is interesting that the respondent first asserts that everyone has the freedom to voice their feelings in a democracy but also places a premium on not leading your sentiments in the ""wrong"" direction as well as highlighting that the knowledge of right or wrong direction is perhaps best found in senior citizens or experienced representatives.",NA
R19,"What happens in democracy is that, during elections, parties present a manifesto, make promises to the people, and then try to fulfil those promises.",Democracy_Features,Substantive_Democracy,Government,INC,Uttarakhand,NA,NA,NA
R22,"We live in a federal system—India is a Union of States, a collection of diverse states. The people of every state have given their mandate in favour of governance. Therefore, they must be allowed to run a clean, transparent, and stable government without interference. The most critical point is to allow governments to fulfil the promises they have made to the people.",Democracy_Features,Substantive_Democracy,Party,INC,Uttarakhand,NA,NA,Fifth person to highlight in some way that democracy consists of decentralised politics.
R23,"Look, the definition itself is for the people, by the people, of the people. Where is ""the people"" in this? It’s a system run by the people for themselves. If you explain it, the beauty of democracy lies in the fact that elections are held every five years. The purpose behind this was likely that voting should be based on merit, and this would put pressure on elected representatives, whom we call servants of the people, to perform well, focus on development, and work on what is necessary for the people. The soul of democracy is precisely this: there should be good governance by the people for the people. Rules and laws should be made in line with the times, and changes should be made to laws as needed. The public should vote not based on caste, religion, or region but on the basis of work and performance.",Democracy_Features,Substantive_Democracy,Party,INC,Uttarakhand,NA,NA,Fourth person to include a Lincolnian definition of democracy. It is largely procedural but they do end up highlighting good governance and performance-based voting as the soul of democracy.  
R1,"Today, one of the biggest threats to democracy is education. Privatization has taken over education, and children are no longer attending primary schools. When education and healthcare are handed over to private hands, what can we do? The government should focus its efforts on education and healthcare, but it isn’t doing anything about them.",Democracy_Trends,Service_Dissatisfaction,Government,SP,Uttar_Pradesh,"Context of increasing privatisation might be important, especially since the respondent is affiliated with the Samajwadi Party.",NA,"The first subtheme, including this response, is indicative of growing concerns about the poor service delivery of the government distorting democracy."
R5,"This [democracy] varies from level to level, depending on one’s social status. If we talk about the lower strata—people who are oppressed or struggling—they don’t even know what democracy or the Constitution actually is. As you move upward, when you reach the lower-middle class, you will find that they are frustrated with the definition of democracy. They feel frustrated because, while the Constitution speaks beautifully about democracy, in reality, they receive nothing. It is like being shown millions but only receiving pennies. This segment of lower-middle and middle-class people appears disillusioned. As for the upper class, what the Constitution says doesn’t really matter to them. They know very well that in today’s world, whatever the Constitution may declare, if they have money, they can bend the system to their will. So, I categorize democracy into these three levels.",Democracy_Trends,Service_Dissatisfaction,Media,Neutral,India,NA,NA,"According to this respondent, it seems like the declining trends in democracy are being felt the most by the middle class who are unable to receive crucial services. They do not single out a single party for the decline in democracy."
R5,"Now, take a look—what does our Constitution or our democracy say? It states that democracy is a government ""for the people, by the people, and of the people."" Fair enough. The procedure takes place—elections are held, people choose their representatives, and the process is completed. But once this process is over, somewhere along the line, democratic rights and principles start to break down. Because once you elect someone, you then have to stand before them with folded hands, pleading, ""Please do something for me, please look into my issue, please take action."" But nothing actually happens. For me, if we look at it today, in contrast to the first two decades after independence—say, from 1946 to 1957 and then from 1957 to 1967—the people who entered politics back then had a sense of service. Now, you will hardly find that element at all.",Democracy_Trends,Service_Dissatisfaction,Media,Neutral,India,"Historical context employed to demonstrate a decline in the ""sense of service"" in the government.",NA,"For this respondent, elections do take place but ""democratic rights and principles"" start to break down after elections. Maybe due to government unresponsivess, maybe due to the suppression of the opposition, both reasons cited by this respondent."
R7,"On the other hand, those to whom power has been delegated still face an issue: historically, people were either subjects under a ruler or colonial rule, meaning they were not citizens in the true sense. They were never educated in citizenship. So today, even though they are no longer slaves or subjects, they have not fully become citizens either. Instead, they have become mere beneficiaries. The entire country has turned into beneficiaries of schemes rather than active participants in governance. The ruling powers are exploiting this reality in every election. Elections have become about what benefits will be provided—electricity bills will be waived, financial handouts will be given, and every person stands with their hand out, expecting something. This beneficiary mentality has reached such an extent that even voting is influenced by it. People now consider which party or candidate will offer them the most—whether one will give them 1000 or another will offer 4000, or if they will receive free liquor. If you visit villages and ask questions, you will often hear, ""What will we get?"" Instead of developing historical consciousness, what has emerged is a deeply entrenched expectation of benefits. So, the real challenge now is: how do we instill in people the awareness that they are owners of this country? How do we create that consciousness within them? If this does not happen, no matter how many constitutional provisions we implement, it will not lead to meaningful change. In fact, instead of improving governance, things may further deteriorate at the grassroots level.",Democracy_Trends,Service_Dissatisfaction,Civil,Neutral,India,"Context of vote buying, but not specified exactly where is it occuring. Implied to be pervasive across the country.",NA,"Clearly, for this respondent, though democracy might exist in theory, it is not being practiced as voters are not the real owners of the country as they should be under democracy. Concerns of service delivery merely existing in the form of freebies and handouts, and even vote buying."
R7,"If we look at it from a general perspective today, on the surface, it appears that people have become so entangled in incentives and benefits that they do not really desire freedom—the freedom to make their own decisions. When a person has the power to make decisions, they also have to rely on their own efforts and strength to sustain themselves. But the prevailing sentiment today is that someone else should make decisions for them, provide them with all necessities, and allow them to live in comfort, without worry. They wish for food to be served to them rather than learning to fish for themselves. There is a fundamental difference between these two approaches. From a broader perspective, it seems that with the rising competition to become mere beneficiaries, democracy itself is at risk.",Democracy_Trends,Service_Dissatisfaction,Civil,Neutral,India,NA,NA,"Democracy is at risk because the government is playing into the politics of handouts instead of teaching the people to fish for themselves. From the field notes I have, it is clear that the respondent feels strongly about people not having the freedom to make their own decisions for economic empowerment under the current regime. They do not elaborate, however, on what alternative economic arrangements the government should be providing to the public. Also, they do not necessarily hold a single party accountable for this ""beneficiary mentality"" and point it as a pervasive problem in Indian politics."
R10,"But today even MPs and MLAs do not have participation. How many MPs are doing legislative work inside Parliament, what is their work? Person worship is there, there is one person who is deciding everything.",Democracy_Trends,Service_Dissatisfaction,Government,AAP,Delhi,NA,NA,"Lack of government responsiveness chalked up to the culture of person worship, clearly implied to be of Narendra Modi."
R12,"What are you doing to make literacy 100%? Have you heard anything about these programs? Have you increased the budget for education? Nothing. So, that is why we have to address the quality of our democracy to deserve a higher rank. We are the largest democracy, but, a defective democracy. Which is a pity. So, if we want to be the greatest democracy, we have to find out what to do. Find out those parameters and move ahead on that.",Democracy_Trends,Service_Dissatisfaction,Bureaucrat,Neutral,Delhi,Context of India scoring low on democracy indices.,NA,"Respondent is lamenting the lack of actual service delivery despite the façade of clean elections and, from the field notes, is very impassioned about calling out incumbent politicians who remarked that India deserved a higher democracy index in popular publications despite allegedly not doing enough to actually improve the country's condition."
R22,"In a democracy, there is an expectation to fulfil promises. For example, the current government promised to provide 20 million jobs. Have these jobs been delivered? They haven’t. If someone makes a promise, it is their responsibility to be accountable and explain why it hasn’t been fulfilled.",Democracy_Trends,Service_Dissatisfaction,Party,INC,Uttarakhand,Context of unfulfilled incumbent promises in Uttarakhand.,NA,"Respondent clearly singling out the BJP for undermining state democracy by not fulfilling promises made in their manifesto in Uttarakhand. This metric might not be the most reliable because most incumbent parties, whether BJP or not, fail to fulfill most of the promises made in their manifestos after coming to power."
R23,"Another [present] narrative is to divert focus from important issues like development, education, hospitals, and unemployment. Over the past six years, whenever an incident gains attention and media begins discussing it, within a day or two, another major event is created to shift the media's focus elsewhere. This diverts attention from the original, significant issue. This is a very dangerous trend. It poses a threat not only to democracy but also to the social fabric of the country.",Democracy_Trends,Service_Dissatisfaction,Party,INC,Uttarakhand,NA,NA,Respondent identifies media as additionally responsible for not sheddling light on the government's failures to provide important services; the BJP is singled out as responsible for diverting attention on important issues.
R1,"Politics is also the feeling of service that is born in us. We started politics with this feeling but the scenario of politics has changed. Because now politics has started happening in the name of religion, politics has started happening in the name of caste. Now politics does not happen in the name of service. Now politics has started happening in the name of temple and mosque in the country. What can we do now?",Democracy_Trends,Communalism,Government,SP,Uttar_Pradesh,Context of the inaugration of Ram Mandir in Uttar Pradesh.,NA,"According to field notes, respondent clearly conveyed a sense of helplessness at the growing use of religion in politics by the BJP. But it should be mentioned that the party the respondent is affiliated with is often accused of playing caste politics, particularly with the Yadav communities."
