Number,Party,Total_Contestants,Won,Second,Third,Party_Votes,Valid_Votes_Percent,Valid_Votes_Contested,AC_Leads,AC_Second,AC_Third
46,Bharat Rashtra Samithi,17,0,2,14,"36,57,237",0.60%,16.70%,0,0,0
47,Naam Tamilar Katchi,40,0,0,6,"36,00,088",0.60%,8.20%,0,0,0
48,Pattali Makkal Katchi,10,0,1,8,"18,79,689",0.30%,16.10%,0,0,0
49,Vanchit Bahujan Aaghadi,38,0,0,21,"15,82,855",0.20%,3.60%,0,0,0
50,Vikassheel Insaan Party,3,0,3,0,"11,87,455",0.20%,37.90%,0,0,0
51,Desiya Murpokku Dravida Kazhagam,5,0,3,2,"11,28,616",0.20%,21.70%,0,0,0
52,Bodoland Peoples Front,4,0,1,1,"7,77,570",0.10%,13.10%,0,0,0
53,All India Secular Front,17,0,0,4,"6,50,229",0.10%,2.70%,0,0,0
54,All India United Democratic Front,3,0,1,2,"6,25,954",0.10%,12.20%,0,0,0
55,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),14,0,0,1,"5,21,749",0.10%,3.50%,0,0,0
56,Rashtriya Samaj Paksha,17,0,1,0,"5,21,246",0.10%,2.50%,0,0,0
57,Bharath Dharma Jana Sena,4,0,0,4,"5,05,753",0.10%,14.50%,0,0,0
58,Socialist Unity Centre Of India (COMMUNIST),150,0,0,0,"4,80,997",0.10%,0.30%,0,0,0
59,Jammu & Kashmir Peoples Democratic Party,3,0,2,0,"4,35,980",0.10%,16%,0,0,0
60,National People's Party,3,0,1,1,"4,17,930",0.10%,16%,0,0,0
61,Assam Jatiya Parishad,1,0,1,0,"4,14,441",0.10%,33.30%,0,0,0
62,Tamil Maanila Congress (MOOPANAR),3,0,0,2,"4,10,401",0.10%,11.90%,0,0,0
63,Amma Makkal Munnettra Kazagam,2,0,1,0,"3,93,415",0.10%,18.10%,0,0,0
64,Nationalist Democratic Progressive Party,1,0,1,0,"3,50,967",0.10%,46.20%,0,0,0
65,Suheldev Bharatiya Samaj Party,1,0,1,0,"3,40,188",0.10%,29.70%,0,0,0
66,Gondvana Gantantra Party,23,0,0,6,"3,12,997",0%,1.10%,0,0,0
67,Naga Peoples Front,1,0,1,0,"2,99,536",0%,37.90%,0,0,0
68,All India Forward Bloc,33,0,0,2,"2,89,941",0%,0.70%,0,0,0
69,Kerala Congress (M),1,0,1,0,"2,77,365",0%,33.60%,0,0,0
70,Bahujan Vikas Aaghadi,1,0,0,1,"2,54,517",0%,18.80%,0,0,0
71,Rashtriya Lok Morcha,1,0,0,1,"2,53,876",0%,25.70%,0,0,0
72,Peoples Party Of India (Democratic),79,0,0,1,"2,47,985",0%,0.30%,0,0,0
73,Indian National Lok Dal,7,0,0,2,"2,26,975",0%,2.50%,0,0,0
74,Jammu And Kashmir Apni Party,2,0,0,2,"2,08,149",0%,12.30%,0,0,0
75,Swabhimani Paksha,2,0,0,1,"1,85,371",0%,7.60%,0,0,0
76,Gana Suraksha Party,11,0,0,0,"1,80,000",0%,1.50%,0,0,0
77,Jammu & Kashmir People Conference,2,0,0,1,"1,74,890",0%,7.50%,0,0,0
78,Rashtriya Jansambhavna Party,19,0,0,0,"1,68,740",0%,0.80%,0,0,0
79,Republican Party Of India (Athawale),10,0,0,1,"1,55,721",0%,1.10%,0,0,0
80,Twenty 20 Party,2,0,0,0,"1,45,450",0%,7.90%,0,0,0
81,Mizo National Front,1,0,1,0,"1,40,264",0%,28.70%,0,0,0
82,Ambedkarite Party Of India,38,0,0,0,"1,32,444",0%,0.30%,0,0,0
83,Bhartiya Shakti Chetna Party,40,0,0,0,"1,15,024",0%,0.20%,0,0,0
84,Jannayak Janta Party,10,0,0,3,"1,13,827",0%,0.90%,0,0,0
85,Akhil Bhartiya Parivar Party,36,0,0,1,"1,10,210",0%,0.30%,0,0,0
86,Alliance Of Democratic Reforms Party,14,0,0,0,"1,08,334",0%,0.60%,0,0,0
87,Prahar Janshakti Party,5,0,0,1,"90,759",0%,1.30%,0,0,0
88,Citizen Action Party-Sikkim,1,0,1,0,"83,566",0%,21.90%,0,0,0
89,New Rashtriya Samaj Party,2,0,0,1,"83,046",0%,3.30%,0,0,0
90,Bharatheeya Jawan Kisan Party,41,0,0,0,"78,104",0%,0.20%,0,0,0
91,Sikkim Democratic Front,1,0,0,1,"77,171",0%,20.20%,0,0,0
92,Bahujan Maha Party,13,0,0,1,"76,254",0%,0.50%,0,0,0
93,Viro Ke Vir Indian Party,18,0,0,1,"75,941",0%,0.40%,0,0,0
94,Bahujan Mukti Party,28,0,0,0,"73,935",0%,0.20%,0,0,0
95,Samata Party,22,0,0,0,"73,318",0%,0.30%,0,0,0
96,Navarang Congress Party,17,0,0,0,"67,432",0%,0.30%,0,0,0
97,Samnak Janta Party,5,0,0,1,"67,374",0%,1.10%,0,0,0
98,Revolutionary Goans Party,2,0,0,2,"64,578",0%,7.20%,0,0,0
99,Voters Party International,11,0,0,1,"63,496",0%,0.40%,0,0,0
100,Lokhit Adhikar Party,12,0,0,0,"62,136",0%,0.40%,0,0,0
101,Moolniwasi Samaj Party,5,0,0,0,"61,033",0%,1%,0,0,0
102,Ekam Sanatan Bharat Dal,18,0,0,1,"60,661",0%,0.30%,0,0,0
103,Right To Recall Party,33,0,0,0,"58,024",0%,0.10%,0,0,0
104,Rashtriya Shoshit Samaj Party,9,0,0,0,"53,911",0%,0.50%,0,0,0
105,Bhagidari Party(P),15,0,0,0,"51,978",0%,0.30%,0,0,0
106,Karnataka Rashtra Samithi,28,0,0,1,"51,529",0%,0.10%,0,0,0
107,Republican Party Of India (A),23,0,0,0,"46,160",0%,0.20%,0,0,0
108,Sardar Patel Siddhant Party,23,0,0,0,"46,145",0%,0.20%,0,0,0
109,United Democratic Party,1,0,0,0,"44,563",0%,4.30%,0,0,0
110,Social Democratic Party Of India,16,0,0,0,"42,465",0%,0.20%,0,0,0
111,Hamar Raj Party,8,0,0,0,"40,746",0%,0.40%,0,0,0
112,Democratic Progressive Azad Party,2,0,0,0,"40,665",0%,2.40%,0,0,0
113,Uttama Prajaakeeya Party,20,0,0,1,"40,491",0%,0.10%,0,0,0
114,Indian Peoples Green Party,8,0,0,0,"39,778",0%,0.40%,0,0,0
115,Apna Dal (Kamerawadi),11,0,0,0,"39,128",0%,0.30%,0,0,0
116,Dharma Samaj Party,15,0,0,0,"38,730",0%,0.20%,0,0,0
117,Peace Party,9,0,0,1,"38,506",0%,0.40%,0,0,0
118,Baliraja Party,7,0,0,0,"33,787",0%,0.40%,0,0,0
119,Bahujan Bharat Party,10,0,0,1,"32,870",0%,0.20%,0,0,0
120,Rashtra Uday Party,9,0,0,0,"30,073",0%,0.30%,0,0,0
121,Bahujan Republican Socialist Party,18,0,0,0,"29,619",0%,0.10%,0,0,0
122,Aadarsh Mithila Party,3,0,0,1,"29,550",0%,0.90%,0,0,0
123,Samaj Shakti Party,3,0,0,0,"29,235",0%,0.90%,0,0,0
124,Rashtriya Samanta Dal,3,0,0,0,"28,340",0%,0.80%,0,0,0
125,Bharatiya Nyay-Adhikar Raksha Party,11,0,0,0,"28,192",0%,0.20%,0,0,0
126,Bharatiya Yuva Jan Ekta Party,9,0,0,0,"27,969",0%,0.20%,0,0,0
127,Pyramid Party Of India,26,0,0,0,"27,966",0%,0.10%,0,0,0
128,Bharatiya Gana Parishad,5,0,0,0,"27,554",0%,0.30%,0,0,0
129,Abhinav Rajasthan Party,1,0,0,1,"26,294",0%,2.10%,0,0,0
130,Bharatiya Praja Aikyata Party,5,0,0,0,"26,271",0%,0.50%,0,0,0
131,Moulik Adhikar Party,10,0,0,0,"25,490",0%,0.20%,0,0,0
132,Bhim Sena,15,0,0,0,"25,346",0%,0.10%,0,0,0
133,Sanyukt Kisan Vikas Party,1,0,0,1,"25,291",0%,2.30%,0,0,0
134,Prabuddha Republican Party,9,0,0,0,"24,361",0%,0.20%,0,0,0
135,Bhartiya Sarthak Party,6,0,0,0,"23,640",0%,0.40%,0,0,0
136,Jammu & Kashmir National Panthers Party (Bhim),5,0,0,0,"23,268",0%,0.50%,0,0,0
137,Jatiya Jana Sena Party,7,0,0,0,"22,935",0%,0.20%,0,0,0
138,Jai Bharat National Party,14,0,0,0,"22,466",0%,0.10%,0,0,0
139,Al-Hind Party,4,0,0,0,"22,308",0%,0.50%,0,0,0
140,Yuga Thulasi Party,8,0,0,0,"22,247",0%,0.20%,0,0,0
141,Jagrook Janta Party,6,0,0,0,"21,566",0%,0.30%,0,0,0
142,Bahujan Dravida Party,14,0,0,0,"21,388",0%,0.10%,0,0,0
143,Shakti Sena (Bharat Desh),6,0,0,0,"21,036",0%,0.20%,0,0,0
144,Maharashtra Vikas Aghadi,10,0,0,0,"20,721",0%,0.20%,0,0,0
145,Desh Janhit Party,11,0,0,0,"20,498",0%,0.20%,0,0,0
146,Manas Lokshakti Dal,3,0,0,0,"20,450",0%,0.60%,0,0,0
147,Sarv Adi Dal,4,0,0,0,"20,348",0%,0.40%,0,0,0
148,Log Party,10,0,0,0,"20,120",0%,0.20%,0,0,0
149,Socialist Party (India),13,0,0,0,"19,940",0%,0.10%,0,0,0
150,Jharkhand Party,5,0,0,0,"19,527",0%,0.40%,0,0,0
151,Rashtriya Jan Kalyan Party Secular,1,0,0,0,"19,495",0%,1.90%,0,0,0
152,Jharkhand People's Party,1,0,0,0,"19,494",0%,1.30%,0,0,0
153,Rashtriya Jansabha Party,7,0,0,0,"19,318",0%,0.20%,0,0,0
154,Republican Sena,1,0,0,0,"18,793",0%,1.60%,0,0,0
155,Naba Bharata Nirmana Seva Party,5,0,0,0,"18,579",0%,0.30%,0,0,0
156,Janta Kranti Party (Rashtravadi),4,0,0,0,"18,401",0%,0.50%,0,0,0
157,Samajhdar Party,5,0,0,0,"18,223",0%,0.30%,0,0,0
158,Jai Maha Bharath Party,7,0,0,0,"18,133",0%,0.20%,0,0,0
159,Mithilanchal Mukti Morcha,1,0,0,1,"18,025",0%,1.80%,0,0,0
160,Kisan Mazdoor Sangharsh Party,6,0,0,0,"17,336",0%,0.20%,0,0,0
161,Bharatha Chaitanya Yuvajana Party,7,0,0,0,"17,173",0%,0.20%,0,0,0
162,The National Road Map Party Of India,4,0,0,0,"17,126",0%,0.30%,0,0,0
163,India Praja Bandhu Party,10,0,0,0,"16,942",0%,0.10%,0,0,0
164,Navataram Party,4,0,0,0,"16,864",0%,0.30%,0,0,0
165,Rashtriya Sanatan Party,3,0,0,0,"16,859",0%,0.40%,0,0,0
166,National Apni Party,4,0,0,0,"16,699",0%,0.30%,0,0,0
167,Karpoori Janta Dal,3,0,0,0,"16,512",0%,0.50%,0,0,0
168,Wazib Adhikar Party,3,0,0,0,"16,506",0%,0.50%,0,0,0
169,Sainik Samaj Party,8,0,0,0,"16,040",0%,0.20%,0,0,0
170,Bhartiya Lokmat Rashtrwadi Party,5,0,0,0,"15,411",0%,0.20%,0,0,0
171,Pragatisheel Manav Samaj Party,2,0,0,0,"15,250",0%,0.70%,0,0,0
172,Jan Janwadi Party,4,0,0,0,"15,240",0%,0.40%,0,0,0
173,Jaibhim Rao Bharat Party,12,0,0,0,"15,165",0%,0.10%,0,0,0
174,Hindustan Vikas Dal,1,0,0,1,"15,140",0%,1.20%,0,0,0
175,Aam Janta Party (India),7,0,0,0,"14,729",0%,0.20%,0,0,0
176,Jai Prakash Janata Dal,4,0,0,0,"14,477",0%,0.30%,0,0,0
177,Rashtriya Praja Congress (Secular),6,0,0,0,"14,219",0%,0.20%,0,0,0
178,Jantantra Awaj Party,6,0,0,0,"14,218",0%,0.20%,0,0,0
179,Mulnibasi Party Of India,8,0,0,0,"14,168",0%,0.10%,0,0,0
180,Proutist Bloc India,6,0,0,0,"14,110",0%,0.20%,0,0,0
181,Malwa Congress,2,0,0,0,"13,925",0%,0.60%,0,0,0
182,Hindu Samaj Party,7,0,0,0,"13,824",0%,0.20%,0,0,0
183,Rashtriya Ulama Council,6,0,0,0,"13,657",0%,0.20%,0,0,0
184,Rashtriya Jan Jan Party,1,0,0,0,"13,213",0%,1.50%,0,0,0
185,Jai Hind Party,1,0,0,0,"13,014",0%,1.10%,0,0,0
186,Naadaalum Makkal Katchi,12,0,0,0,"12,895",0%,0.10%,0,0,0
187,Swatantrata Abhivyakti Party,4,0,0,0,"12,741",0%,0.30%,0,0,0
188,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,9,0,0,0,"12,735",0%,0.10%,0,0,0
189,Bhartiya Lok Nayak Party,2,0,0,0,"12,411",0%,0.60%,0,0,0
190,Mahanwadi Party,3,0,0,0,"12,364",0%,0.30%,0,0,0
191,Rashtriya Kisan Bahujan Party,5,0,0,0,"12,309",0%,0.20%,0,0,0
192,Parivartan Samaj Party,4,0,0,0,"12,304",0%,0.30%,0,0,0
193,Naki Bharatiya Ekta Party,5,0,0,0,"12,299",0%,0.20%,0,0,0
194,Praja Velugu Party,2,0,0,0,"12,199",0%,0.40%,0,0,0
195,Bhartiya Rashtriya Dal,6,0,0,0,"12,178",0%,0.20%,0,0,0
196,Rashtrawadi Janlok Party (Satya),5,0,0,0,"12,049",0%,0.20%,0,0,0
197,Azad Adhikar Sena,5,0,0,0,"12,021",0%,0.20%,0,0,0
198,Bharatiya Jan Kranti Dal (Democratic),2,0,0,0,"11,914",0%,0.50%,0,0,0
199,Anna Ysr Congress Party,7,0,0,0,"11,459",0%,0.10%,0,0,0
200,Rashtriya Gondvana Party,2,0,0,0,"11,446",0%,0.40%,0,0,0
201,National Loktantrik Party,3,0,0,0,"11,286",0%,0.40%,0,0,0
202,Desiya Makkal Sakthi Katchi,9,0,0,0,"11,211",0%,0.10%,0,0,0
203,Kamatapur People’s Party (United),6,0,0,0,"11,206",0%,0.10%,0,0,0
204,Bhartiya Dalit Party,2,0,0,0,"11,139",0%,0.50%,0,0,0
205,National Jan Dal,3,0,0,0,"11,116",0%,0.40%,0,0,0
206,United Republican Party Of India,7,0,0,0,"10,997",0%,0.10%,0,0,0
207,Hindustan People's Party (Democratic),2,0,0,0,"10,992",0%,0.50%,0,0,0
208,Bharatiya Momin Front,3,0,0,0,"10,972",0%,0.30%,0,0,0
209,Rashtra Nirman Party,6,0,0,0,"10,964",0%,0.10%,0,0,0
210,Rashtriya Samaj Dal (R),9,0,0,0,"10,877",0%,0.10%,0,0,0
211,Telangana Sakalajanula Party,1,0,0,0,"10,859",0%,0.80%,0,0,0
212,Swarajya Shakti Sena,4,0,0,0,"10,802",0%,0.20%,0,0,0
213,Pragatisheel Samaj Party,3,0,0,0,"10,553",0%,0.30%,0,0,0
214,Apna Kisan Party,2,0,0,0,"10,538",0%,0.50%,0,0,0
215,Dalita Bahujana Party,5,0,0,0,"10,311",0%,0.20%,0,0,0
216,National Nava Kranthi Party,5,0,0,0,"10,284",0%,0.10%,0,0,0
217,Bharatiya Kisan Parivartan Party,3,0,0,0,"10,272",0%,0.30%,0,0,0
218,Rashtriya Uttarakhand Party,1,0,0,0,"10,026",0%,1.20%,0,0,0
219,Indian National League,4,0,0,0,"9,918",0%,0.20%,0,0,0
220,Akhil Hind Forward Bloc (Krantikari),2,0,0,0,"9,902",0%,0.50%,0,0,0
221,Asom Jana Morcha,3,0,0,0,"9,895",0%,0.20%,0,0,0
222,Rashtriya Devbhumi Party,4,0,0,0,"9,781",0%,0.20%,0,0,0
223,Aam Janta Party Rashtriya,2,0,0,0,"9,760",0%,0.50%,0,0,0
224,Autonomous State Demand Committee,1,0,0,0,"9,633",0%,1.40%,0,0,0
225,Bahujan Samaj Party (AMBEDKAR),4,0,0,0,"9,391",0%,0.20%,0,0,0
226,Sanatan Sanskriti Raksha Dal,2,0,0,0,"9,347",0%,0.50%,0,0,0
227,Rashtriya Jan Awaz Party,1,0,0,0,"9,299",0%,0.60%,0,0,0
228,Telangana Praja Shakthi Party,2,0,0,0,"9,290",0%,0.40%,0,0,0
229,Uttarakhand Kranti Dal,3,0,0,0,"9,270",0%,0.30%,0,0,0
230,Bharatiya National Janata Dal,3,0,0,0,"9,258",0%,0.20%,0,0,0
231,Bharatiya Bahujan Congress,2,0,0,0,"9,165",0%,0.30%,0,0,0
232,Jan Sewa Driver Party,6,0,0,0,"9,135",0%,0.10%,0,0,0
233,Anti Corruption Dynamic Party,5,0,0,0,"9,128",0%,0.20%,0,0,0
234,Samaniya Makkal Nala Katchi,9,0,0,0,"8,990",0%,0.10%,0,0,0
235,Swatantra Jantaraj Party,3,0,0,0,"8,979",0%,0.30%,0,0,0
236,Minorities Democratic Party,3,0,0,0,"8,978",0%,0.30%,0,0,0
237,Hindrashtra Sangh,4,0,0,0,"8,970",0%,0.20%,0,0,0
238,Jai Samta Party,2,0,0,0,"8,933",0%,0.40%,0,0,0
239,Janata Congress,2,0,0,0,"8,900",0%,0.30%,0,0,0
240,Liberation Congress Party,8,0,0,0,"8,900",0%,0.10%,0,0,0
241,Bhartiya Kranti Vir Party,1,0,0,0,"8,749",0%,0.80%,0,0,0
242,Yuva Krantikari Party,1,0,0,0,"8,736",0%,0.70%,0,0,0
243,Akhil Bhartiya Apna Dal,1,0,0,0,"8,678",0%,0.80%,0,0,0
244,Abhay Samaj Party,1,0,0,0,"8,583",0%,0.70%,0,0,0
245,New India United Party,3,0,0,0,"8,542",0%,0.30%,0,0,0
246,Social Justice Party Of India,6,0,0,0,"8,519",0%,0.10%,0,0,0
247,Mera Adhikaar Rashtriya Dal,3,0,0,0,"8,514",0%,0.20%,0,0,0
248,Democratic Bharatiya Samaj Party,5,0,0,0,"8,472",0%,0.20%,0,0,0
249,Jammu And Kashmir Nationalist People's Front,3,0,0,0,"8,453",0%,0.30%,0,0,0
250,Parcham Party Of India,1,0,0,0,"8,404",0%,0.70%,0,0,0
251,Dhanwan Bharat Party,1,0,0,0,"8,389",0%,0.80%,0,0,0
252,Nationalist Justice Party,7,0,0,0,"8,357",0%,0.10%,0,0,0
253,Eklavya Samaj Party,2,0,0,0,"8,352",0%,0.40%,0,0,0
254,Aravor Munnetra Kazhagam,5,0,0,0,"8,345",0%,0.10%,0,0,0
255,Andaman Nicobar Democratic Congress,1,0,0,1,"8,254",0%,4.10%,0,0,0
256,Purvanchal Mahapanchayat,3,0,0,0,"8,217",0%,0.20%,0,0,0
257,Janhit Sankalp Party,1,0,0,0,"8,194",0%,0.80%,0,0,0
258,Aas Punjab Party,2,0,0,0,"8,114",0%,0.40%,0,0,0
259,Dr. Ambedkar People's Party,1,0,0,0,"8,089",0%,0.60%,0,0,0
260,Dhesiya Makkal Kazhagam,2,0,0,0,"8,089",0%,0.30%,0,0,0
261,Hindustan Janta Party,6,0,0,0,"7,914",0%,0.10%,0,0,0
262,Rashtriya Jansangharsh Swaraj Party,1,0,0,0,"7,803",0%,0.50%,0,0,0
263,Ganasangam Party Of India,7,0,0,0,"7,776",0%,0.10%,0,0,0
264,Gunj Satya Ni Janata Party,3,0,0,0,"7,761",0%,0.20%,0,0,0
265,Bajjikanchal Vikas Party,2,0,0,0,"7,747",0%,0.40%,0,0,0
266,Bharat Jan Jagran Dal,1,0,0,0,"7,736",0%,0.90%,0,0,0
267,Global Republican Party,5,0,0,0,"7,734",0%,0.20%,0,0,0
268,Praja Shanthi Party,1,0,0,0,"7,696",0%,0.60%,0,0,0
269,Jai Swaraj Party,4,0,0,0,"7,684",0%,0.10%,0,0,0
270,Rashtriya Jankranti Party,3,0,0,0,"7,646",0%,0.20%,0,0,0
271,Haryana Jansena Party,3,0,0,0,"7,646",0%,0.20%,0,0,0
272,Loktantrik Samajwadi Party,2,0,0,0,"7,554",0%,0.40%,0,0,0
273,All India Arya Mahasabha,3,0,0,0,"7,345",0%,0.20%,0,0,0
274,Manavtawadi Samaj Party,3,0,0,0,"7,136",0%,0.20%,0,0,0
275,Samruddha Odisha,3,0,0,0,"7,087",0%,0.20%,0,0,0
276,Marxist Leninist Party Of India (Red Flag),1,0,0,0,"7,085",0%,0.50%,0,0,0
277,Jan Sangh Party,3,0,0,0,"7,060",0%,0.20%,0,0,0
278,Sarv Samaj Party,2,0,0,0,"6,879",0%,0.30%,0,0,0
279,Andhra Rastra Praja Samithi,3,0,0,0,"6,846",0%,0.20%,0,0,0
280,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),5,0,0,0,"6,699",0%,0.10%,0,0,0
281,Vishwa Kalyan Rashtriya Manav Samaj Party,2,0,0,0,"6,678",0%,0.30%,0,0,0
282,Party For Democratic Socialism,3,0,0,0,"6,651",0%,0.20%,0,0,0
283,Naam Indiar Party,1,0,0,0,"6,640",0%,0.70%,0,0,0
284,Arunachal Democratic Party,1,0,0,0,"6,622",0%,2.10%,0,0,0
285,Rashtriya Jansanchar Dal,3,0,0,0,"6,617",0%,0.20%,0,0,0
286,Samata Samadhan Party,1,0,0,0,"6,614",0%,0.50%,0,0,0
287,Nyaydharmsabha,4,0,0,0,"6,607",0%,0.10%,0,0,0
288,Bheem Tribal Congress,7,0,0,0,"6,603",0%,0.10%,0,0,0
289,Loktantrik Samajik Nyay Party,1,0,0,0,"6,542",0%,0.70%,0,0,0
290,Samaj Vikas Kranti Party,6,0,0,0,"6,373",0%,0.10%,0,0,0
291,Bharat Jago Janta Party,1,0,0,0,"6,340",0%,0.60%,0,0,0
292,Rashtriya Janshakti Party (Secular),3,0,0,0,"6,251",0%,0.20%,0,0,0
293,Chhattisgarh Vikas Ganga Rashtriya Party,4,0,0,0,"6,227",0%,0.10%,0,0,0
294,Bhartiya Awam Party (Rastriya),1,0,0,0,"6,160",0%,0.60%,0,0,0
295,Aapki Awaaz Party,1,0,0,0,"6,087",0%,0.60%,0,0,0
296,Sanman Rajkiya Paksha,2,0,0,0,"6,075",0%,0.20%,0,0,0
297,North Bengal People’s Party,3,0,0,0,"6,073",0%,0.10%,0,0,0
298,Bharat Jodo Party,4,0,0,0,"6,045",0%,0.10%,0,0,0
299,Aapki Apni Party (Peoples),4,0,0,0,"6,033",0%,0.10%,0,0,0
300,Bhartiya Jan Samman Party,3,0,0,0,"5,968",0%,0.20%,0,0,0
301,Rashtra Sewa Dal,1,0,0,0,"5,919",0%,0.60%,0,0,0
302,Telugu Rajadhikara Samiti Party,3,0,0,0,"5,906",0%,0.20%,0,0,0
303,Bhartiya Lok Chetna Party,3,0,0,0,"5,852",0%,0.20%,0,0,0
304,Aihra National Party,2,0,0,0,"5,833",0%,0.20%,0,0,0
305,Indian National Socialistic Action Forces,4,0,0,0,"5,781",0%,0.10%,0,0,0
306,Uttarakhand Parivartan Party,1,0,0,0,"5,778",0%,0.90%,0,0,0
307,Sarva Janata Party,2,0,0,0,"5,771",0%,0.20%,0,0,0
308,Bhartiya Krishak Dal,3,0,0,0,"5,723",0%,0.20%,0,0,0
309,Rashtravadi Bharat Party,2,0,0,0,"5,702",0%,0.30%,0,0,0
310,Hindustan Shakti Sena,5,0,0,0,"5,625",0%,0.10%,0,0,0
311,Bharatiya Aam Awam Party,1,0,0,0,"5,585",0%,0.60%,0,0,0
312,Jaathia Chethi Vruthula Ikya Vedika Party,5,0,0,0,"5,568",0%,0.10%,0,0,0
313,Karnataka Jantha Paksha,2,0,0,0,"5,491",0%,0.20%,0,0,0
314,Adarsh Nyay Rakshak Party,1,0,0,0,"5,484",0%,0.50%,0,0,0
315,All India Majlis-E-Inquilab-E-Millat,5,0,0,0,"5,454",0%,0.10%,0,0,0
316,Jai Hind National Party,4,0,0,0,"5,451",0%,0.10%,0,0,0
317,National Awami United Party,2,0,0,0,"5,319",0%,0.20%,0,0,0
