Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes,Valid Votes Contested,AC Leads,AC Second,AC Third
84,Majlis Bachao Tahreek,1,0,0,0,"47,560",0%,4.80%,0,0,2
85,Peoples Democratic Party,1,0,0,0,"45,720",0%,6.30%,0,0,1
86,Uttarakhand Kranti Dal,4,0,0,1,"43,899",0%,2%,0,0,28
87,Marxist Communist Party Of India (S.S.SRIVASTAVA),4,0,0,0,"38,766",0%,1.10%,0,0,2
88,Amara Bengali,7,0,0,0,"38,107",0%,0.70%,0,0,0
89,Vidharbha Rajya Party,2,0,0,0,"36,974",0%,2.60%,0,0,0
90,Urs Samyuktha Paksha,3,0,0,0,"33,128",0%,1.30%,0,0,0
91,Ambedkarist Republican Party,7,0,0,0,"31,467",0%,0.60%,0,0,0
92,Prabuddha Republican Party,7,0,0,0,"29,792",0%,0.50%,0,0,0
93,Rashtravadi Communist Party,1,0,0,0,"28,757",0%,5%,0,0,1
94,Rashtriya Samajik Nayak Paksha,1,0,0,0,"27,594",0%,4%,0,0,0
95,Sampurna Vikas Dal,3,0,0,1,"27,135",0%,1%,0,0,4
96,Tamil Desiyak Katchi,2,0,0,0,"25,348",0%,1.80%,0,0,0
97,Kosi Vikas Party,2,0,0,0,"25,258",0%,1.90%,0,0,1
98,Chhattisgarhi Samaj Party,3,0,0,0,"24,696",0%,1.20%,0,0,1
99,Bharatiya Manavata Vikas Party,2,0,0,0,"24,176",0%,1.30%,0,0,3
100,Loktantrik Samajwadi Party,3,0,0,0,"22,811",0%,1.10%,0,0,0
101,Savarn Samaj Party,7,0,0,0,"21,246",0%,0.50%,0,0,0
102,Ambedkar Samaj Party,9,0,0,0,"20,767",0%,0.40%,0,0,0
103,Indian National League,4,0,0,0,"20,159",0%,0.50%,0,0,0
104,Bharatiya Gaon Taj Dal,11,0,0,0,"19,909",0%,0.20%,0,0,0
105,Akhil Bharatiya Congress Dal (Ambedkar),2,0,0,0,"19,548",0%,1.40%,0,0,0
106,Socialist Party (LOHIA),1,0,0,0,"18,628",0%,2%,0,0,0
107,Shivrajya Party,4,0,0,0,"18,374",0%,0.60%,0,0,0
108,Samajwadi Jan Parishad,2,0,0,0,"17,717",0%,1.50%,0,0,1
109,Hindustan Janata Party,4,0,0,0,"17,410",0%,0.50%,0,0,0
110,Revolutionary Communist Party Of India (RASIK BHATT),1,0,0,0,"16,691",0%,2.50%,0,0,0
111,Bharatiya Republican Paksha,10,0,0,0,"16,546",0%,0.20%,0,0,0
112,Rashtriya Vikas Party,5,0,0,0,"15,159",0%,0.30%,0,0,0
113,Trinamool Gana Parishad,1,0,0,0,"14,933",0%,1.70%,0,0,0
114,Manuvadi Party,5,0,0,0,"14,233",0%,0.50%,0,0,0
115,Bharat Kranti Rakshak Party,7,0,0,0,"12,547",0%,0.30%,0,0,0
116,Rashtriya Hamara Dal,1,0,0,0,"12,346",0%,1.90%,0,0,0
117,Parivartan Samaj Party,5,0,0,0,"12,273",0%,0.30%,0,0,0
118,Bharatiya Eklavya Party,2,0,0,0,"12,197",0%,0.90%,0,0,0
119,Janta Party,1,0,0,0,"12,009",0%,1.60%,0,0,0
120,Proutist Sarva Samaj Party,4,0,0,0,"11,561",0%,0.40%,0,0,0
121,Bharatiya Rashtravadi Paksha,1,0,0,1,"11,459",0%,2.50%,0,0,7
122,Pachim Banga Rajya Muslim League,1,0,0,0,"10,446",0%,1%,0,0,0
123,Rajasthan Vikash Party,2,0,0,0,"10,032",0%,0.70%,0,0,0
124,Lokpriya Samaj Party,3,0,0,0,"9,913",0%,0.40%,0,0,0
125,Akhil Bharatiya Jan Sangh,7,0,0,0,"9,707",0%,0.20%,0,0,0
126,Rashtriya Krantikari Samajwadi Party,5,0,0,0,"9,145",0%,0.30%,0,0,0
127,Vidharbha Janata Congress,2,0,0,0,"9,097",0%,0.60%,0,0,0
128,Shoshit Samaj Dal,4,0,0,0,"8,862",0%,0.30%,0,0,0
129,Jai Hind Party,3,0,0,0,"8,645",0%,0.30%,0,0,0
130,Bharatiya Minorities Suraksha Mahasangh,3,0,0,0,"8,200",0%,0.40%,0,0,0
131,Akhil Bharatiya Desh Bhakt Morcha,1,0,0,0,"7,696",0%,1.30%,0,0,0
132,Maharashtrawadi Gomantak,2,0,0,0,"7,584",0%,1.40%,0,0,4
133,Rashtriya Sawarn Dal,2,0,0,0,"7,374",0%,0.30%,0,0,0
134,Navbharat Nirman Party,7,0,0,0,"7,169",0%,0.10%,0,0,0
135,Krantikari Samyavadi Party,1,0,0,0,"6,948",0%,1%,0,0,0
136,Democratic Bharatiya Samaj Party,2,0,0,0,"6,717",0%,0.40%,0,0,0
137,Youth And Students Party,1,0,0,0,"6,580",0%,0.80%,0,0,0
138,Ephraim Union,1,0,0,1,"6,512",0%,1.90%,0,0,40
139,Akhil Bharatiya Lok Tantrik Alp-Sankhyak Jan Morcha,1,0,0,0,"6,003",0%,1.30%,0,0,0
140,United Goans Democratic Party,1,0,0,1,"5,881",0%,2%,0,0,11
141,Pichhra Samaj Party,1,0,0,0,"5,672",0%,0.80%,0,0,0
142,Momin Conference,1,0,0,0,"5,113",0%,0.70%,0,0,0
143,Labour Party Of India (V.V. PRASAD),1,0,0,0,"4,977",0%,0.40%,0,0,1
144,All India Minorities Front,1,0,0,0,"4,874",0%,0.70%,0,0,0
145,Republican Party Of India (KHOBRAGADE),1,0,0,0,"4,790",0%,0.70%,0,0,0
146,Naari Shakti Party,1,0,0,0,"4,649",0%,0.40%,0,0,0
147,Bahujan Vikas Party,2,0,0,0,"4,533",0%,0.30%,0,0,0
148,Bharatiya Ekta Dal,1,0,0,0,"4,312",0%,0.60%,0,0,0
149,Shikshit Berozgar Sena,1,0,0,0,"4,303",0%,0.60%,0,0,0
150,Yuva Gantantra Party,1,0,0,0,"4,140",0%,0.60%,0,0,0
151,Rashtravadi Janata Party,1,0,0,0,"3,737",0%,0.20%,0,0,0
152,Kranti Kari Jai Hind Sena,3,0,0,0,"3,393",0%,0.10%,0,0,0
153,Mudiraj Rashtriya Samithi,1,0,0,0,"3,345",0%,0.30%,0,0,0
154,Sikkim Sangram Parishad,1,0,0,1,"3,216",0%,1.50%,1,0,23
155,Janata Vikas Party,1,0,0,0,"3,173",0%,0.60%,0,0,0
156,National Students Party,1,0,0,0,"3,069",0%,0.40%,0,0,0
157,Secular Party Of India,2,0,0,0,"3,041",0%,0.20%,0,0,0
158,Vikas Party,2,0,0,0,"2,998",0%,0.20%,0,0,0
159,Social Action Party,1,0,0,0,"2,987",0%,0.50%,0,0,0
160,Akhil Bharatiya Rashtriya Azad Hind Party,1,0,0,0,"2,801",0%,0.50%,0,0,0
161,Loktantrik Chetna Party,1,0,0,0,"2,776",0%,0.50%,0,0,0
162,Sikkim Himali Rajya Parishad,1,0,0,0,"2,765",0%,1.30%,1,0,9
163,Janmangal Paksh,1,0,0,0,"2,684",0%,0.40%,0,0,0
164,Sanatan Samaj Party,1,0,0,0,"2,679",0%,0.60%,0,0,0
165,Lok Sewa Dal,1,0,0,0,"2,646",0%,0.40%,0,0,0
166,Jana Unnayan Mancha,1,0,0,0,"2,592",0%,0.30%,0,0,0
167,Rashtriya Lok Seva Morcha,1,0,0,0,"2,476",0%,0.30%,0,0,0
168,Republican Party Of India (DEMOCRATIC),1,0,0,0,"2,370",0%,0.30%,0,0,0
169,Bhartiya Lok Kalyan Dal,1,0,0,0,"2,242",0%,0.30%,0,0,0
170,Panchayat Raj Party,1,0,0,0,"2,165",0%,0.20%,0,0,0
171,Bharatiya Backward Party,2,0,0,0,"2,162",0%,0.10%,0,0,0
172,All Kerala M.G.R. Dravida Munnetra Party,1,0,0,0,"2,158",0%,0.30%,0,0,0
173,Akhil Bhartiya Rajarya Sabha,2,0,0,0,"2,080",0%,0.20%,0,0,0
174,Bharat Ki Lok Jimmedar Party,1,0,0,0,"2,055",0%,0.30%,0,0,0
175,Rashtriya Garima Party,1,0,0,0,"2,043",0%,0.20%,0,0,0
176,Rashtriya Garib Dal,1,0,0,0,"1,977",0%,0.20%,0,0,0
177,Ekta Krandi Dal U.P.,2,0,0,0,"1,939",0%,0.10%,0,0,0
178,Bharatiya Labour Party,1,0,0,0,"1,758",0%,0.20%,0,0,0
179,Phule Bharti Lok Party,1,0,0,0,"1,690",0%,0.20%,0,0,0
180,Bharatiya Prajatantrik Shudh Gandhiwadi Krishak Dal,1,0,0,0,"1,689",0%,0.20%,0,0,0
181,Mool Bharati (S) Party,1,0,0,0,"1,675",0%,0.20%,0,0,0
182,Bharatiya Nagrik Party,2,0,0,0,"1,580",0%,0.10%,0,0,0
183,Jammu And Kashmir Awami League,1,0,0,0,"1,519",0%,0.80%,0,0,0
184,Hind Morcha,1,0,0,0,"1,459",0%,0.10%,0,0,0
185,Jharkhand People's Party,1,0,0,0,"1,449",0%,0.20%,0,0,0
186,Maharashtra Rajiv Congress,1,0,0,0,"1,399",0%,0.20%,0,0,0
187,Janhit Samaj Party,1,0,0,0,"1,310",0%,0.10%,0,0,0
188,Vijeta Party,1,0,0,0,"1,304",0%,0.10%,0,0,0
189,Socialistic Democratic Party,1,0,0,0,"1,265",0%,0.60%,0,0,0
190,Jansatta Party,1,0,0,0,"1,189",0%,0.10%,0,0,0
191,Federal Congress Of India,1,0,0,0,"1,037",0%,0.10%,0,0,0
192,Nidaya Malik (N) Party,1,0,0,0,"1,030",0%,0.20%,0,0,0
193,Indian Bahujan Samajwadi Party,1,0,0,0,972,0%,0.10%,0,0,0
194,Desh Bhakt Party,3,0,0,0,912,0%,0.10%,0,0,0
195,Ambedkar National Congress,1,0,0,0,825,0%,0.10%,0,0,0
196,Ntr Telugu Desam Party (LAKSHMI PARVATHI),1,0,0,0,759,0%,0.10%,0,0,0
197,Akhil Bhartiya Loktantra Party,1,0,0,0,754,0%,0.10%,0,0,0
198,Jebamani Janata,1,0,0,0,734,0%,0.10%,0,0,0
199,Niswarth Sewa Party,1,0,0,0,730,0%,0.10%,0,0,0
200,Jan Chetna Party,1,0,0,0,671,0%,0.10%,0,0,0
201,Hindu Ekta Andolan Party,1,0,0,0,620,0%,0.10%,0,0,0
202,Krantikari Manuwadi Morcha,1,0,0,0,597,0%,0.10%,0,0,0
203,Bharatiya Prajatantra Party,1,0,0,0,573,0%,0%,0,0,0
204,Bharatiya Muhabbat Party (All India),1,0,0,0,566,0%,0.10%,0,0,0
205,Manav Jagriti Manch,1,0,0,0,552,0%,0%,0,0,0
206,Bharatiya Janvadi Party,1,0,0,0,543,0%,0.10%,0,0,0
207,Bharatiya Surajya Manch,1,0,0,0,515,0%,0.20%,0,0,0
208,Rashtriya Janadhikar Party,1,0,0,0,487,0%,0%,0,0,0
209,Praja Party,1,0,0,0,485,0%,0.10%,0,0,0
210,Bharti Sarvadarshi Parishad,1,0,0,0,427,0%,0.10%,0,0,0
211,Shoshit Samaj Party,1,0,0,0,395,0%,0.10%,0,0,0
212,Rashtriya Sakar Party,1,0,0,0,379,0%,0.10%,0,0,0
213,Bharatiya Sarvkalyan Krantidal,1,0,0,0,365,0%,0.10%,0,0,0
214,Awami Party,1,0,0,0,327,0%,0%,0,0,0
215,Swaraj Dal,1,0,0,0,298,0%,0.20%,1,0,0
216,Akhand Bharti,1,0,0,0,138,0%,0.10%,0,0,0
217,Parmarth Party,1,0,0,0,126,0%,0%,0,0,0
