Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes,Valid Votes Contested,AC Leads,AC Second,AC Third
69,Samruddha Odisha,7,0,0,0,"1,31,379",0%,2.10%,0,0,0
70,Janvadi Party(Socialist),25,0,0,0,"1,29,595",0%,0.80%,0,0,0
71,Jharkhand Party,7,0,0,1,"1,25,900",0%,2.70%,0,0,5
72,United Democratic Party,1,0,1,0,"1,24,402",0%,25.90%,2,25,9
73,Autonomous State Demand Committee,1,0,1,0,"1,23,287",0%,25.70%,0,4,1
74,Puthiya Tamilagam,3,0,0,1,"1,20,797",0%,5.20%,0,0,5
75,Lok Bhalai Party,3,0,0,1,"1,18,470",0%,4.50%,0,0,9
76,Jharkhand Party (NOREN),7,0,0,1,"1,04,600",0%,2%,0,0,4
77,Jharkhand Disom Party,9,0,0,0,"1,02,698",0%,1.40%,0,0,1
78,Manipur Peoples Party,1,0,0,1,"1,01,787",0%,17.50%,2,3,23
79,Hill State People's Democratic Party,1,0,0,1,"97,613",0%,20.30%,4,5,26
80,Marxist Coordination,2,0,0,0,"91,489",0%,6.40%,0,0,5
81,J & K National Panthers Party,10,0,0,1,"87,502",0%,1.20%,2,1,4
82,Gondwana Mukti Sena,18,0,0,0,"85,355",0%,0.70%,0,0,2
83,Prabuddha Republican Party,23,0,0,0,"76,518",0%,0.40%,0,0,0
84,National Lokhind Party,19,0,0,0,"72,620",0%,0.50%,0,0,0
85,Rashtriya Krantikari Samajwadi Party,27,0,0,0,"71,857",0%,0.40%,0,0,0
86,Kranti Kari Jai Hind Sena,28,0,0,0,"70,715",0%,0.30%,0,0,0
87,Manithaneya Makkal Katchi,4,0,0,0,"68,346",0%,2.30%,0,0,0
88,Jammu & Kashmir People Conference,1,0,0,1,"65,403",0%,14.80%,0,3,12
89,Mahan Dal,4,0,0,0,"65,398",0%,2.40%,0,0,0
90,Krantisena Maharashtra,19,0,0,0,"65,151",0%,0.50%,0,0,0
91,Jago Party,17,0,0,0,"64,482",0%,0.50%,0,0,1
92,Ambedkar National Congress,22,0,0,0,"60,896",0%,0.40%,0,0,0
93,Sarvodaya Karnataka Paksha,2,0,0,0,"60,333",0%,3.60%,0,0,1
94,Jharkhand Jan Morcha,1,0,0,0,"58,025",0%,9%,0,0,0
95,Pragtisheel Manav Samaj Party,4,0,0,0,"57,649",0%,2.20%,0,0,0
96,Rashtriya Kranti Party,7,0,0,0,"55,805",0%,1.10%,0,0,0
97,Loksangram,1,0,0,0,"53,637",0%,8%,1,0,3
98,Kalinga Sena,7,0,0,0,"53,033",0%,0.90%,0,0,0
99,Trilinga Praja Pragati Party,10,0,0,0,"48,136",0%,0.50%,0,0,0
100,Bira Oriya Party,2,0,0,0,"47,720",0%,3.10%,0,0,1
101,Akhil Bharat Hindu Mahasabha,28,0,0,0,"47,456",0%,0.20%,0,0,0
102,Arunachal Congress,1,0,0,1,"46,539",0%,21.70%,5,7,13
103,Jharkhand Vikas Dal,5,0,0,0,"45,246",0%,1.20%,0,0,0
104,Amara Bengali,8,0,0,0,"45,102",0%,0.60%,0,0,0
105,Rashtra Sewa Dal,8,0,0,0,"43,184",0%,0.90%,0,0,0
106,Shiromani Akali Dal (SIMRANJIT SINGH MANN),3,0,0,0,"43,137",0%,1.60%,0,0,0
107,Kosal Kranti Dal,3,0,0,0,"42,744",0%,1.70%,0,0,0
108,Ambedkar Samaj Party,16,0,0,0,"42,586",0%,0.40%,0,0,0
109,Bahujan Republican Ekta Manch,2,0,0,0,"42,386",0%,2.80%,0,0,1
110,Loktantrik Samajwadi Party,9,0,0,0,"40,803",0%,0.70%,0,0,2
111,A-Chik National Congress(Democratic),1,0,0,1,"40,204",0%,11.70%,0,1,23
112,Bharatiya Bahujan Party,15,0,0,0,"39,797",0%,0.40%,0,0,4
113,Mana Party,2,0,0,0,"39,257",0%,2%,0,0,1
114,Uttarakhand Kranti Dal,5,0,0,0,"38,633",0%,1.20%,0,0,2
115,Navbharat Nirman Party,16,0,0,0,"37,219",0%,0.40%,0,0,0
116,Rajasthan Vikash Party,11,0,0,0,"36,584",0%,0.50%,0,0,0
117,Rashtravadi Janata Party,10,0,0,0,"34,670",0%,0.40%,0,0,0
118,Bharatiya Jantantrik Janta Dal,8,0,0,0,"34,528",0%,0.70%,0,0,0
119,Bahujan Sangharsh Party (Kanshiram),9,0,0,0,"33,010",0%,0.50%,0,0,0
120,Jharkhand Janadikhar Manch,1,0,0,0,"32,219",0%,6.20%,0,0,0
121,Eklavya Samaj Party,8,0,0,0,"31,983",0%,0.60%,0,0,0
122,Samata Party,11,0,0,0,"31,324",0%,0.40%,0,0,0
123,Democratic Secular Party,11,0,0,0,"30,532",0%,0.30%,0,0,0
124,Peoples Guardian,1,0,0,0,"30,340",0%,4.10%,0,0,0
125,Samajwadi Janata Party (RASHTRIYA),9,0,0,0,"30,091",0%,0.50%,0,0,0
126,Lokpriya Samaj Party,13,0,0,0,"29,459",0%,0.30%,0,0,1
127,Rashtriya Pragati Party,8,0,0,0,"29,151",0%,0.60%,0,0,0
128,Nelopa(United),17,0,0,0,"27,388",0%,0.20%,0,0,0
129,Shoshit Samaj Dal,7,0,0,0,"26,807",0%,0.60%,0,0,0
130,Akhil Bartiya Manav Seva Dal,4,0,0,0,"26,268",0%,1.10%,0,0,0
131,Bharatiya Republican Paksha,13,0,0,0,"25,940",0%,0.30%,0,0,0
132,Rashtravadi Communist Party,5,0,0,0,"25,842",0%,0.70%,0,0,0
133,Lok Dal,12,0,0,0,"24,588",0%,0.30%,0,0,0
134,Jan Surajya Shakti,2,0,0,0,"23,925",0%,1.50%,0,0,1
135,Samajwadi Jan Parishad,6,0,0,0,"23,539",0%,0.50%,0,0,0
136,Akhil Bharatiya Congress Dal (Ambedkar),4,0,0,0,"22,861",0%,0.80%,0,0,0
137,Rashtravadi Aarthik Swatantrata Dal,6,0,0,0,"22,453",0%,0.50%,0,0,0
138,Akhila India Jananayaka Makkal Katchi (Dr. Issac),10,0,0,0,"21,609",0%,0.20%,0,0,0
139,Akila India Vallalar Peravai,10,0,0,0,"20,982",0%,0.30%,0,0,0
140,People's Democratic Forum,4,0,0,0,"20,699",0%,0.80%,0,0,0
141,Akhil Bharatiya Jan Sangh,9,0,0,0,"20,599",0%,0.40%,0,0,0
142,Moulik Adhikar Party,9,0,0,0,"20,534",0%,0.30%,0,0,0
143,Bahujan Shakty,8,0,0,0,"18,844",0%,0.30%,0,0,0
144,Indian Peace Party,1,0,0,0,"18,726",0%,2.60%,0,0,0
145,Chhattisgarh Vikas Party,8,0,0,0,"18,394",0%,0.30%,0,0,0
146,Great India Party,2,0,0,0,"18,161",0%,0.90%,0,0,0
147,Vanchit Jamat Party,8,0,0,0,"17,868",0%,0.30%,0,0,0
148,Prajatantrik Samadhan Party,5,0,0,0,"17,570",0%,0.50%,0,0,1
149,United Goans Democratic Party,1,0,0,1,"16,727",0%,6.20%,0,2,13
150,Makkal Manadu Katchi,7,0,0,0,"16,699",0%,0.30%,0,0,0
151,Bharatiya Sadbhawna Samaj Party,1,0,0,0,"15,948",0%,1.60%,0,0,0
152,Marxist Communist Party Of India (S.S.SRIVASTAVA),4,0,0,0,"15,922",0%,0.40%,0,0,0
153,Rashtriya Krantikari Janata Party,7,0,0,0,"15,847",0%,0.30%,0,0,0
154,Bharatiya Sarvodaya Kranti Party,5,0,0,0,"15,734",0%,0.50%,0,0,0
155,Bharatheeya Sadharma Samsthapana Party,5,0,0,0,"15,718",0%,0.30%,0,0,0
156,Bahujan Uday Manch,4,0,0,0,"15,272",0%,0.50%,0,0,0
157,Puthiya Needhi Katchi,3,0,0,0,"15,074",0%,0.60%,0,0,0
158,Bharat Punarnirman Dal,11,0,0,0,"14,974",0%,0.20%,0,0,0
159,Smast Bhartiya Party,6,0,0,0,"14,435",0%,0.30%,0,0,0
160,Akhil Bharatiya Ashok Sena,6,0,0,0,"13,828",0%,0.30%,0,0,0
161,Bharatiya Momin Front,4,0,0,0,"13,737",0%,0.60%,0,0,0
162,Bhartiya Jagran Party,2,0,0,0,"13,506",0%,1.10%,0,0,0
163,Jana Hitkari Party,3,0,0,0,"13,313",0%,0.60%,0,0,0
164,Rashtriya Jan-Jagram Morcha,2,0,0,0,"13,194",0%,1.10%,0,0,0
165,Ulzaipali Makkal Katchy,3,0,0,0,"13,193",0%,0.60%,0,0,0
166,Republician Party Of India Ektawadi,9,0,0,0,"12,767",0%,0.20%,0,0,0
167,Rashtriya Janwadi Party (Krantikari),3,0,0,0,"12,732",0%,0.60%,0,0,0
168,Jawan Kisan Morcha,4,0,0,0,"12,716",0%,0.50%,0,0,0
169,United Women Front,6,0,0,0,"12,338",0%,0.30%,0,0,0
170,Chhattisgarhi Samaj Party,3,0,0,0,"11,972",0%,0.50%,0,0,0
171,Loktanrik Sarkar Party,1,0,0,0,"11,893",0%,1.40%,0,0,0
172,Republican Paksha (Khoripa),6,0,0,0,"11,724",0%,0.30%,0,0,0
173,Peoples Republican Party,6,0,0,0,"11,341",0%,0.30%,0,0,0
174,Bharatiya Samta Samaj Party,2,0,0,0,"11,151",0%,0.80%,0,0,0
175,Bajjikanchal Vikas Party,4,0,0,0,"11,097",0%,0.50%,0,0,0
176,Bahujan Samaj Party(Ambedkar-Phule),2,0,0,0,"10,698",0%,0.50%,0,0,0
177,Kosi Vikas Party,1,0,0,0,"10,447",0%,1.70%,0,0,0
178,All India Minorities Front,5,0,0,0,"10,211",0%,0.30%,0,0,0
179,Aadivasi Sena Party,1,0,0,0,"9,936",0%,1.30%,0,0,0
180,Jammu & Kashmir Awami National Conference,3,0,0,0,"9,900",0%,0.90%,0,0,5
181,Bharatiya Minorities Suraksha Mahasangh,4,0,0,0,"9,871",0%,0.50%,0,0,0
182,Socialist Party (LOHIA),3,0,0,0,"9,712",0%,0.50%,0,0,0
183,Bharatiya Praja Paksha,4,0,0,0,"9,457",0%,0.20%,0,0,0
184,Lok Bharati,2,0,0,0,"9,407",0%,0.90%,0,0,17
185,Lok Vikas Party,1,0,0,0,"9,198",0%,1.10%,0,0,0
186,Rajyadhikara Party,3,0,0,0,"9,005",0%,0.30%,0,0,0
187,All India Dalit Welfare Congress,4,0,0,0,"8,961",0%,0.20%,0,0,0
188,Meghalaya Democratic Party,1,0,0,0,"8,946",0%,1.90%,0,0,1
189,Manav Mukti Morcha,1,0,0,0,"8,839",0%,1.40%,0,0,0
190,"Backward Classes Democratic Party, J&k",3,0,0,0,"8,129",0%,0.40%,0,0,0
191,Bharatiya Eklavya Party,3,0,0,0,"8,105",0%,0.40%,0,0,0
192,Akhil Bhartiya Rajarya Sabha,4,0,0,0,"8,065",0%,0.30%,0,0,0
193,Rashtriya Raksha Dal,3,0,0,0,"7,915",0%,0.40%,0,0,0
194,Jan Morcha,2,0,0,0,"7,826",0%,0.60%,0,0,0
195,Democratic Bharatiya Samaj Party,4,0,0,0,"7,817",0%,0.20%,0,0,0
196,Revolutionary Communist Party Of India (RASIK BHATT),1,0,0,0,"7,788",0%,0.70%,0,0,0
197,Bharatiya Gaon Taj Dal,7,0,0,0,"7,764",0%,0.10%,0,0,0
198,Bundelkhand Akikrit Party,1,0,0,0,"7,593",0%,1.10%,0,0,0
199,Ajeya Bharat Party,3,0,0,0,"7,567",0%,0.30%,0,0,0
200,Indian Union Muslim League,5,0,0,0,"7,553",0%,0.20%,0,0,0
201,Purvanchal Rajya Banao Dal,2,0,0,0,"7,497",0%,0.50%,0,0,0
202,Ambedkar Pragatisheel Republican Dal,1,0,0,0,"7,482",0%,0.90%,0,0,0
203,The Humanist Party Of India,5,0,0,0,"7,296",0%,0.20%,0,0,0
204,Rashtriya Machhua Samaj Party,2,0,0,0,"7,290",0%,0.60%,0,0,0
205,Bharatiya Natiional Janta Dal,6,0,0,0,"7,194",0%,0.20%,0,0,0
206,Hindustan Janata Party,3,0,0,0,"7,054",0%,0.30%,0,0,0
207,B. C. United Front,1,0,0,0,"6,910",0%,0.70%,0,0,0
208,Bharatiya Jantantrik Parishad,1,0,0,0,"6,872",0%,0.80%,0,0,0
209,Ambedkarist Republican Party,6,0,0,0,"6,672",0%,0.10%,0,0,0
210,Maharashtrawadi Gomantak,1,0,0,0,"6,638",0%,2.30%,0,0,4
211,Proutist Sarva Samaj Party,5,0,0,0,"6,316",0%,0.20%,0,0,0
212,Bharatiya Subhash Sena,4,0,0,0,"6,250",0%,0.20%,0,0,0
213,Akhil Bharatiya Desh Bhakt Morcha,2,0,0,0,"6,220",0%,0.50%,0,0,0
214,Party For Democratic Socialism,1,0,0,0,"6,141",0%,0.60%,0,0,0
215,Peoples Party Of Arunachal,1,0,0,0,"5,996",0%,2.80%,0,0,3
216,Rashtriya Janhit Party,3,0,0,0,"5,841",0%,0.20%,0,0,0
217,Vikas Party,2,0,0,0,"5,840",0%,0.40%,0,0,0
218,Professionals Party Of India,2,0,0,0,"5,819",0%,0.40%,0,0,0
219,Republican Party Of India (DEMOCRATIC),3,0,0,0,"5,809",0%,0.30%,0,0,0
220,Duggar Pradesh Party,1,0,0,0,"5,660",0%,0.70%,0,0,0
221,Bharat Vikas Morcha,1,0,0,0,"5,645",0%,0.70%,0,0,0
222,Republican Party Of India (KHOBRAGADE),2,0,0,0,"5,566",0%,0.30%,0,0,0
223,Bharatiya Samaj Dal,3,0,0,0,"5,565",0%,0.30%,0,0,0
224,Samajtantric Party Of India,2,0,0,0,"5,537",0%,0.40%,0,0,0
225,Rashtrawadi Labour Party,3,0,0,0,"5,460",0%,0.20%,0,0,0
226,National Loktantrik Party,1,0,0,0,"5,371",0%,0.70%,0,0,0
227,Bharatiya Peoples Party,1,0,0,0,"5,226",0%,0.70%,0,0,0
228,Bhartiya Lok Kalyan Dal,1,0,0,0,"5,197",0%,0.70%,0,0,0
229,Sunder Samaj Party,1,0,0,0,"5,120",0%,0.70%,0,0,0
230,Lal Morcha,2,0,0,0,"5,087",0%,0.40%,0,0,0
231,Bharatiya Sampuran Krantikari Party,5,0,0,0,"5,068",0%,0.10%,0,0,0
232,Jai Bharat Samanta Party,3,0,0,0,"4,967",0%,0.20%,0,0,0
233,Samajik Jantantrik Party,1,0,0,0,"4,816",0%,0.80%,0,0,0
234,Praja Bharath Party,1,0,0,0,"4,810",0%,0.50%,0,0,0
235,Bharathiya Sahayog Congress,1,0,0,0,"4,758",0%,0.50%,0,0,0
236,Sikkim Himali Rajya Parishad,1,0,0,1,"4,639",0%,1.80%,0,0,6
237,Uttar Pradesh Republican Party,1,0,0,0,"4,604",0%,0.70%,0,0,0
238,Rashtriya Mazdoor Ekta Party,3,0,0,0,"4,588",0%,0.30%,0,0,0
239,Muslim Majlis Uttar Pradesh,2,0,0,0,"4,444",0%,0.30%,0,0,0
240,Inqalab Vikas Dal,2,0,0,0,"4,439",0%,0.40%,0,0,0
241,Awami Party,2,0,0,0,"4,386",0%,0.30%,0,0,0
242,Bharatiya Jan Berojgar Chhatra Dal,1,0,0,0,"4,307",0%,0.60%,0,0,0
243,Bharat Uday Mission,2,0,0,0,"4,210",0%,0.40%,0,0,0
244,Rashtriya Agraniye Dal,3,0,0,0,"4,072",0%,0.20%,0,0,0
245,Krantikari Samyavadi Party,1,0,0,0,"4,035",0%,0.70%,0,0,0
246,Rashtriya Praja Congress (Secular),1,0,0,0,"3,980",0%,0.40%,0,0,0
247,Republican Presidium Party Of India,1,0,0,0,"3,894",0%,0.50%,0,0,0
248,Lok Jan Vikas Morcha,1,0,0,0,"3,658",0%,0.70%,0,0,0
249,Peoples Democratic Front,1,0,0,0,"3,502",0%,0.60%,0,0,0
250,Bharatiya Loktantrik Party(Gandhi-Lohiawadi),1,0,0,0,"3,359",0%,0.60%,0,0,0
251,Bharatiya Pichhra Dal,2,0,0,0,"3,292",0%,0.20%,0,0,0
252,Rashtriya Naujawan Dal,2,0,0,0,"3,155",0%,0.30%,0,0,0
253,Rashtra Bhakt Dal,3,0,0,0,"3,138",0%,0.10%,0,0,0
254,Yuva Vikas Party,3,0,0,0,"3,129",0%,0.20%,0,0,0
255,Jan Chetna Party,1,0,0,0,"2,987",0%,0.40%,0,0,0
256,Sikkim Jan-Ekta Party,1,0,0,0,"2,849",0%,1.10%,0,0,1
257,Bharatiya Samaj Kalyan Party Bharat,1,0,0,0,"2,822",0%,0.40%,0,0,0
258,Bhartiya Pragatisheel Congress,4,0,0,0,"2,798",0%,0.10%,0,0,0
259,National Development Party,1,0,0,0,"2,787",0%,0.40%,0,0,0
260,Jan Ekta Dal,1,0,0,0,"2,787",0%,0.50%,0,0,0
261,Momin Conference,2,0,0,0,"2,765",0%,0.20%,0,0,0
262,All India Forward Bloc (Subhasist),1,0,0,0,"2,758",0%,0.40%,0,0,0
263,Rashtriya Sahara Party,2,0,0,0,"2,754",0%,0.20%,0,0,0
264,Indian People's Forward Block,1,0,0,0,"2,686",0%,0.30%,0,0,0
265,Alpjan Samaj Party,1,0,0,0,"2,678",0%,0.50%,0,0,0
266,Ambedkarbadi Party,1,0,0,0,"2,664",0%,0.30%,0,0,0
267,United National Loktantrik Party,2,0,0,0,"2,658",0%,0.20%,0,0,0
268,Akhil Bharatiya Hind Kranti Party,1,0,0,0,"2,633",0%,0.40%,0,0,0
269,Orissa Mukti Morcha,1,0,0,0,"2,591",0%,0.30%,0,0,0
270,Youth And Students Party,1,0,0,0,"2,582",0%,0.40%,0,0,0
271,Laghujan Samaj Vikas Party,1,0,0,0,"2,507",0%,0.30%,0,0,0
272,Jharkhand People's Party,1,0,0,0,"2,498",0%,0.30%,0,0,0
273,Democratic Congress Party,1,0,0,0,"2,497",0%,0.30%,0,0,0
274,Savarn Samaj Party,3,0,0,0,"2,486",0%,0.10%,0,0,0
275,Jansatta Party,2,0,0,0,"2,468",0%,0.20%,0,0,0
276,Jai Chhattisgarh Party,1,0,0,0,"2,397",0%,0.30%,0,0,0
277,Rastriya Samajwadi Party (Secular),2,0,0,0,"2,305",0%,0.20%,0,0,0
278,Moderate Party,1,0,0,0,"2,285",0%,0.40%,0,0,0
279,Sikkim Gorkha Prajatantric Party,1,0,0,0,"2,284",0%,0.90%,0,0,2
280,National Youth Party,1,0,0,0,"2,275",0%,0.30%,0,0,0
281,Sardar Vallabhbhai Patel Party,2,0,0,0,"2,275",0%,0.20%,0,0,0
282,Kannada Chalevali Vatal Paksha,2,0,0,0,"2,269",0%,0.10%,0,0,0
283,Rashtriya Bahujan Congress Party,2,0,0,0,"2,244",0%,0.20%,0,0,0
284,Bhartiya Deshbhakt Party,1,0,0,0,"2,217",0%,0.30%,0,0,0
285,Rashtriya Jan Sahay Dal,2,0,0,0,"2,202",0%,0.20%,0,0,0
286,Desia Pathukappu Kazhagam,1,0,0,0,"2,154",0%,0.30%,0,0,0
287,Youth For Equality,1,0,0,0,"2,099",0%,0.30%,0,0,0
288,Rajya Nojawan Shakti Party,1,0,0,0,"2,041",0%,0.60%,0,0,1
289,Rashtriya Lokwadi Party,1,0,0,0,"2,021",0%,0.30%,0,0,0
290,Rashtriya Janutthan Party,2,0,0,0,"2,005",0%,0.10%,0,0,0
291,Rashtriya Lokhit Party,1,0,0,0,"1,866",0%,0.30%,0,0,0
292,Indian Christian Secular Party,1,0,0,0,"1,853",0%,0.20%,0,0,0
293,Mahila Adhikar Party,1,0,0,0,"1,816",0%,0.30%,0,0,0
294,Rashtriya Gondvana Party,1,0,0,0,"1,802",0%,0.20%,0,0,0
295,Rashtriya Mangalam Party,1,0,0,0,"1,780",0%,0.20%,0,0,0
296,Indian Bahujan Samajwadi Party,1,0,0,0,"1,780",0%,0.30%,0,0,0
297,Buddhiviveki Vikas Party,2,0,0,0,"1,774",0%,0.10%,0,0,0
298,Advait Ishwasyam Congress,1,0,0,0,"1,718",0%,0.30%,0,0,0
299,United Communist Party Of India,1,0,0,0,"1,713",0%,0.30%,0,0,0
300,Shivrajya Party,1,0,0,0,"1,704",0%,0.20%,0,0,0
301,Karnataka Thamizhar Munnetra Kazhagam,1,0,0,0,"1,686",0%,0.20%,0,0,0
302,Akhil Bhartiya Manavata Paksha,1,0,0,0,"1,619",0%,0.20%,0,0,0
303,National Democratic Peoples Front,1,0,0,0,"1,557",0%,0.20%,0,0,0
304,Bharatiya Backward Party,1,0,0,0,"1,552",0%,0.20%,0,0,0
305,Rashtriya Surya Prakash Party,1,0,0,0,"1,532",0%,0.30%,0,0,0
306,Jharkhand Party,1,0,0,0,"1,514",0%,0.20%,0,0,0
307,Bharatiya Nagrik Party,1,0,0,0,"1,464",0%,0.20%,0,0,0
308,Bahujan Vikas Party,1,0,0,0,"1,435",0%,0.20%,0,0,0
309,Bharatiya Rashtravadi Paksha,1,0,0,0,"1,407",0%,0.20%,0,0,0
310,Rashtriya Janadhikar Party,2,0,0,0,"1,394",0%,0.10%,0,0,0
311,Majdoor Kisan Union Party,2,0,0,0,"1,341",0%,0.10%,0,0,0
312,Kamarajar Deseeya Congress,3,0,0,0,"1,341",0%,0.10%,0,0,0
313,Christian Democratic Front,1,0,0,0,"1,300",0%,0.20%,0,0,0
314,Bharatiya Jan Shakti,1,0,0,0,"1,296",0%,0.10%,0,0,0
315,Rayalaseema Rashtra Samithi,1,0,0,0,"1,284",0%,0.10%,0,0,0
316,Bharatiya Jai Bheem Party,1,0,0,0,"1,253",0%,0.20%,0,0,0
317,Bhartiya Chaitanya Party,1,0,0,0,"1,246",0%,0.20%,0,0,0
318,Bharatiya Jan Kranti Dal (Democratic),1,0,0,0,"1,245",0%,0.20%,0,0,0
