Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes
35,Peasants & Workers Party,6,0,1,2,"2,95,402",0.10%
36,United Minorities Front Assam,3,0,0,1,"2,06,737",0.10%
37,Lok Dal,80,0,0,0,"1,76,723",0.10%
38,Marxist (CO-ORDINATION),1,0,1,0,"1,71,767",0.10%
39,United Reservation Movement Council Of Assam,9,0,0,0,"1,70,376",0.10%
40,Shiromani Akali Dal (SIMRANJIT SINGH MANN),6,0,1,2,"1,66,054",0.10%
41,Sanjukta Loka Parishad,2,0,0,0,"1,25,738",0%
42,Republican Party Of India (KHOBRAGADE),9,0,0,1,"91,557",0%
43,Plains Tribals Council Of Assam,2,0,0,0,"87,387",0%
44,Mizo National Front,1,0,1,0,"82,019",0%
45,Sarv Jati Janata Parishad,1,0,0,1,"70,368",0%
46,Akhil Bharat Hindu Mahasabha,34,0,0,1,"67,495",0%
47,Maharashtrawadi Gomantak,2,0,2,0,"64,752",0%
48,Tharasu Makkal Mandaram,29,0,0,1,"55,165",0%
49,Uttar Khand Kranti Dal,4,0,0,1,"47,369",0%
50,Bhatiya Krishi Udyog Sangh,37,0,0,0,"43,853",0%
51,Marxist Communist Partyof India (SRIVASTAVA),5,0,0,0,"43,085",0%
52,Jan Parishad,24,0,0,0,"37,725",0%
53,Republican Party Of India,14,0,0,1,"36,541",0%
54,Amara Bengali,5,0,0,1,"35,186",0%
55,Indian Union Muslim League,1,0,0,1,"31,387",0%
56,Sampooran Kranti Das,7,0,0,0,"29,647",0%
57,Akhil Bharatiya Manav Seva Das,19,0,0,0,"28,528",0%
58,Uttar Pradesh Republican Party,10,0,0,0,"28,379",0%
59,Yuva Vikas Party,11,0,0,1,"28,159",0%
60,Communist Party Of India(MARXIST-LENINIST),4,0,0,0,"27,730",0%
61,Jawan Kisan Mazdoor Party,6,0,0,0,"23,929",0%
62,Proutist Bloc Of India,20,0,0,0,"22,734",0%
63,Shoshit Samaj Dal,12,0,0,0,"19,925",0%
64,Akhil Bharatiya Jan Sangh,11,0,0,0,"19,243",0%
65,Orissa Vikas Parishad,7,0,0,0,"15,893",0%
66,Hul Jharkhand Party,4,0,0,0,"15,406",0%
67,Socialist Party (LOHIYA),11,0,0,0,"12,928",0%
68,Akhil Bharatiya Hindustani Krantikari Samajwadi Party,2,0,0,0,"12,820",0%
69,Dalit Panthers Party,10,0,0,0,"11,967",0%
70,Bharatiya Loktantrik Mazdoor Dal,9,0,0,0,"10,837",0%
71,Akhil Bharatiya Revolutionary Samaj Dal,3,0,0,0,"8,825",0%
72,Akhil Bhartiya Shivsena-Rashtrawadi,1,0,0,0,"8,810",0%
73,Asom Jatiyatabadi Dal,2,0,0,0,"8,519",0%
74,Ambedkar Makkal Iyakkam,3,0,0,0,"8,252",0%
75,Asom Jatiya Parishad,1,0,0,0,"8,047",0%
76,Socialist Party (Ramakant Pandey),3,0,0,0,"7,104",0%
77,Akhil Baratiya Pichhra Varg Party,3,0,0,0,"6,897",0%
78,All India Dalit Muslim Minorities Suraksha Mahasangh,8,0,0,0,"5,888",0%
79,Vidarbha Praja Party,4,0,0,0,"5,597",0%
80,Akhil Bharatiya Gram Parishad,1,0,0,0,"5,521",0%
81,Akhil Bhartiya Dharmnirpeksh Dal,6,0,0,0,"5,436",0%
82,Hindu Swaraj Sangathan,5,0,0,0,"5,325",0%
83,Republican Presidium Party Of India,3,0,0,0,"4,967",0%
84,Surajya Party,3,0,0,0,"4,705",0%
85,Sarvodaya Party,2,0,0,0,"4,642",0%
86,Janata Dal (Samajwadi),2,0,0,0,"4,548",0%
87,Deseeya Karshaka Party,1,0,0,0,"4,508",0%
88,Gondwana Party,2,0,0,0,"3,605",0%
89,Azad Hind Fauz (Rajkiya),5,0,0,0,"3,543",0%
90,Samdarshi Party,3,0,0,0,"2,921",0%
91,Lok Party,2,0,0,0,"2,873",0%
92,Socialist League Of India,2,0,0,0,"2,852",0%
93,All India Urdu Morcha,3,0,0,0,"2,655",0%
94,Akhil Bhartiya Ramrajya Parishad (Vasudev Shastri Atul),4,0,0,0,"2,519",0%
95,All India Kisan Mazdoor Sabha,2,0,0,0,"2,311",0%
96,Pondicherry Mannila Makkal Munnani,1,0,0,0,"2,259",0%
97,Pandav Dal,1,0,0,0,"2,213",0%
98,Internationalist Democratic Party,1,0,0,0,"2,078",0%
99,Gomant Lok Party,2,0,0,0,"1,983",0%
100,Akhil Bharatiya Desh Bhakt Morcha,3,0,0,0,"1,792",0%
101,Workers Party Of India,1,0,0,0,"1,781",0%
102,Nationalist Party,3,0,0,0,"1,768",0%
103,Marx Engles Leninist Commune Health Association,2,0,0,0,"1,692",0%
104,Nagaland Peoples Party,2,0,0,0,"1,572",0%
105,Adarsh Lok Dal,1,0,0,0,"1,544",0%
106,Desh Bhakt Party,5,0,0,0,"1,521",0%
107,Akhil Bharatiya Bharat Desham Party,2,0,0,0,"1,466",0%
108,Republican Party Of India (Kamble),1,0,0,0,"1,300",0%
109,Akhil Bharatiya Janhit Jagrati Party,1,0,0,0,"1,245",0%
110,Mukt Bharat,4,0,0,0,"1,191",0%
111,Rashtriya Krantikari Dal,1,0,0,0,"1,125",0%
112,Sampooran Rashtriya Sena,2,0,0,0,"1,040",0%
113,Gramma Munnetra Kazhagam,1,0,0,0,"1,030",0%
114,Navbharat Party,2,0,0,0,787,0%
115,Labour Party Of India (V.V. Prasad),1,0,0,0,684,0%
116,Thayaga Marumalrchi Kazhagam,1,0,0,0,665,0%
117,Poorvanchal Rashtriya Congress,5,0,0,0,605,0%
118,Jammu & Kashmir Panthers Party,2,0,0,0,587,0%
119,Kannada Paksha,2,0,0,0,576,0%
120,Akhil Bharatiya Mahila Dal,1,0,0,0,573,0%
121,Socialist Revolutionary Party,1,0,0,0,571,0%
122,Lokhit Morcha,2,0,0,0,532,0%
123,Republican Party Of India (A),1,0,0,0,521,0%
124,Labour Party (Ashok Bhattacharjee),1,0,0,0,434,0%
125,Akhil Bharatiya Loktantra Party,1,0,0,0,408,0%
126,Cheluva Kannad Nadu,1,0,0,0,383,0%
127,Azad Party,2,0,0,0,372,0%
128,Democratic Party Of India,1,0,0,0,359,0%
129,Bharatiya Backward Party,1,0,0,0,329,0%
130,Hindu Shiv Sena (A.K. Brahmbatt),1,0,0,0,325,0%
131,Rashtriya Unnatsheel Das,2,0,0,0,316,0%
132,Akhil Bharatiya Gram Parishad,1,0,0,0,314,0%
133,Akhil Bharatiya Loktantric Alpsankhyak Janmorcha,1,0,0,0,257,0%
134,Sr. Citizens National Party Of India,1,0,0,0,250,0%
135,Socialist Labour League,1,0,0,0,246,0%
136,M.G.R. Munnetra Kazhagam,1,0,0,0,228,0%
137,Mahabharat Peples Party,2,0,0,0,225,0%
138,Janata Congress Party Of Bharatvarsha,1,0,0,0,194,0%
139,Akhil Bhartiya Hindu Shakti Dal,1,0,0,0,193,0%
140,Akhil Bharatiya Socialist Party,1,0,0,0,166,0%
141,Kannada Desh Party,1,0,0,0,164,0%
142,Bharatiya Dhruba Labour Party,1,0,0,0,142,0%
143,Jai Mahakali Nigrani Samiti,1,0,0,0,138,0%
144,Bhartiya Sangthit Nagrik Party,1,0,0,0,120,0%
145,Vishal Bharat Pary,1,0,0,0,56,0%
146,Jan Ekata Morcha,1,0,0,0,34,0%
