Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes
48,Karnataka Vikash Party,19,0,0,1,"3,71,346",0.10%
49,Kerala Congress,1,0,1,0,"3,27,649",0.10%
50,M.G.R.Anna D.M.Kazhagam,3,0,0,2,"2,78,324",0.10%
51,Forward Bloc (SOCIALIST),1,0,1,0,"2,72,974",0.10%
52,Marxist Coordination,1,0,1,0,"2,63,901",0.10%
53,Shiromani Akali Dal (SIMRANJIT SINGH MANN),4,0,1,1,"2,48,529",0.10%
54,Jharkhand Mukti Morcha (MARDI),3,0,0,2,"2,40,897",0.10%
55,Bihar Jana Congress,14,0,0,1,"2,22,371",0.10%
56,United Democratic Party,2,0,1,1,"2,13,924",0.10%
57,Gondvana Gantantra Party,15,0,0,0,"1,96,662",0.10%
58,Jharkhand Party (NOREN),2,0,0,2,"1,81,018",0%
59,Jharkhand Party,15,0,0,4,"1,78,103",0%
60,Ajeya Bharat Party,88,0,0,1,"1,57,854",0%
61,United Reservation Movement Council Of Assam,1,0,1,0,"1,51,543",0%
62,National Loktantrik Party,22,0,0,0,"1,47,706",0%
63,United Goans Democratic Party,2,0,0,1,"1,32,558",0%
64,Mahabharat Peples Party,1,0,1,0,"1,15,785",0%
65,Peoples Democratic Party,4,0,0,0,"92,083",0%
66,Akhil Bharatiya Sena,14,0,0,1,"90,035",0%
67,Indian National League,6,0,0,0,"86,697",0%
68,Himachal Vikash Congress,4,0,0,4,"85,046",0%
69,Mizo National Front,1,0,0,1,"82,047",0%
70,Savarn Samaj Party,16,0,0,0,"76,980",0%
71,Maharashtrawadi Gomantak,2,0,0,1,"70,191",0%
72,Jharkhand Party,4,0,0,0,"63,836",0%
73,Hill State People's Democratic Party,1,0,0,1,"62,144",0%
74,Loktantrik Samajwadi Party,14,0,0,0,"43,770",0%
75,Bahujan Samaj Party (AMBEDKAR),8,0,0,3,"43,402",0%
76,Indian Congress (SOCIALIST),7,0,0,1,"36,677",0%
77,Uttarakhand Kranti Dal,1,0,0,0,"30,654",0%
78,Akhil Bartiya Manav Seva Dal,5,0,0,0,"26,027",0%
79,National Panthers Party,8,0,0,0,"24,638",0%
80,Marxist Communist Party Of India (S.S.SRIVASTAVA),2,0,0,0,"24,417",0%
81,Shoshit Samaj Dal,4,0,0,0,"24,303",0%
82,Proutist Sarva Samaj Samiti,10,0,0,0,"23,029",0%
83,Chhattisgarh Mukti Morcha,1,0,0,0,"20,928",0%
84,Jammu And Kashmir Awami League,1,0,0,1,"20,843",0%
85,Amara Bengali,8,0,0,0,"20,372",0%
86,Kannada Chalevali Vatal Paksha,1,0,0,0,"19,202",0%
87,Garo National Council,1,0,0,0,"16,280",0%
88,Akhil Bharatiya Jan Sangh,10,0,0,0,"14,284",0%
89,Akhil Bharat Hindu Mahasabha,12,0,0,0,"14,160",0%
90,Plains Tribals Council Of Assam,1,0,0,0,"12,952",0%
91,Bharatiya Vikash Party,5,0,0,0,"11,881",0%
92,United Tribal Nationalists Liberation Front,1,0,0,0,"11,287",0%
93,Rajasthan Vikash Party,5,0,0,0,"11,267",0%
94,Karnataka Rajya Ryota Sangha,2,0,0,0,"10,064",0%
95,United Communist Party Of India,1,0,0,0,"10,018",0%
96,Bharti Lok Lehar Party,1,0,0,0,"9,959",0%
97,Samajwadi Jan Parishad,2,0,0,0,"9,848",0%
98,Hindustan Janata Party,2,0,0,0,"9,476",0%
99,Bharatiya Jantantrik Parishad,1,0,0,0,"9,367",0%
100,Maharashtra Rashtravadi Congress,3,0,0,0,"8,623",0%
101,Jharkhand People's Party,1,0,0,0,"7,111",0%
102,Sarvadharam Party (MADHYA PRADESH),2,0,0,0,"6,671",0%
103,Akhil Bharatiya Rajivwadi Congress (DUBEY),4,0,0,0,"6,455",0%
104,Bharatiya Rajiv Congress,1,0,0,0,"6,122",0%
105,Kisan Vikas Party,1,0,0,0,"5,905",0%
106,Jai Telengana Party,2,0,0,0,"5,847",0%
107,Akhil Bharatiya Bhrastachar Normoolan Sena,2,0,0,1,"5,718",0%
108,All India Rajiv Krantikari Congress,1,0,0,0,"5,588",0%
109,Pragtisheel Manav Samaj Party,2,0,0,0,"5,495",0%
110,Bharatiya Krantikari Kammand Party,2,0,0,0,"4,852",0%
111,Shoshit Samaj Party,6,0,0,0,"4,722",0%
112,Rashtriya Aikta Manch,6,0,0,0,"4,596",0%
113,Bahujan Kranti Dal (JAI),3,0,0,0,"4,525",0%
114,The Humanist Party Of India,3,0,0,0,"4,439",0%
115,Revolutionary Communist Party Of India (RASIK BHATT),2,0,0,0,"4,420",0%
116,Rashtriya Ali Sena,3,0,0,0,"4,371",0%
117,Sanatan Samaj Party,1,0,0,0,"4,238",0%
118,Orissa Congress,1,0,0,0,"4,048",0%
119,Indian Union Muslim League,2,0,0,0,"3,763",0%
120,Rastreeya Praja Parishat,2,0,0,0,"3,688",0%
121,Bharatiya Minorities Suraksha Mahasangh,1,0,0,0,"3,030",0%
122,Golden India Party,2,0,0,0,"3,002",0%
123,Adarsh Lok Dal,2,0,0,0,"2,909",0%
124,Manava Party,1,0,0,0,"2,903",0%
125,Krantikari Manuwadi Morcha,2,0,0,0,"2,723",0%
126,The Religion Of Man Revolving Political Party Of India,1,0,0,0,"2,503",0%
127,All India Minorities Front,1,0,0,0,"2,480",0%
128,Bahujan Kranti Dal,2,0,0,0,"2,466",0%
129,Akhil Bharatiya Ashok Sena,2,0,0,0,"2,392",0%
130,Republican Party Of India (KHOBRAGADE),1,0,0,0,"2,167",0%
131,Gareebjan Samaj Party,1,0,0,0,"2,009",0%
132,Andhra Nadu Party,2,0,0,0,"1,915",0%
133,All India Muslim Forum,1,0,0,0,"1,866",0%
134,Bahujan Vikas Party,2,0,0,0,"1,833",0%
135,Pragati Sheel Party,1,0,0,0,"1,828",0%
136,Rashtriya Janandholan Paksha,1,0,0,0,"1,708",0%
137,Tamilaga Janata,2,0,0,0,"1,697",0%
138,Akhil Bharatiya Berozgaar Party,2,0,0,0,"1,609",0%
139,Prism,1,0,0,0,"1,595",0%
140,United Citizens Party,3,0,0,0,"1,591",0%
141,Bharatiya Jan Sabha,1,0,0,0,"1,425",0%
142,Rashtriya Unnatsheel Das,1,0,0,0,"1,394",0%
143,Socialist Party (LOHIA),1,0,0,0,"1,321",0%
144,Akhil Bharatiya Revolutionary Shoshit Samaj Dal,1,0,0,0,"1,277",0%
145,Agrajan Party,2,0,0,0,"1,269",0%
146,Ekta Krandi Dal U.P.,1,0,0,0,"1,246",0%
147,All India Gareeb Congress,1,0,0,0,"1,222",0%
148,Republican Presidium Party Of India,1,0,0,0,"1,215",0%
149,Akhil Bharatiya Garib Mazdoor Kisan Party,2,0,0,0,"1,199",0%
150,Indian Bahujan Samajwadi Party,1,0,0,0,"1,162",0%
151,Bharatiya Parivartan Morcha,2,0,0,0,"1,111",0%
152,Nagaland Peoples Party,1,0,0,0,"1,066",0%
153,Bharatiya Momin Front,1,0,0,0,"1,045",0%
154,Manav Samaj Party,2,0,0,0,"1,036",0%
155,Rashtriya Mazdoor Ekta Party,1,0,0,0,946,0%
156,Hindustan Inqualab Party,1,0,0,0,883,0%
157,Jan Samanta Party,1,0,0,0,828,0%
158,Bhrishtachar Virodhi Dal,1,0,0,0,754,0%
159,Akhil Bharatiya Janata Congress,1,0,0,0,751,0%
160,Ambedkarbadi Party,1,0,0,0,736,0%
161,Rashtriya Muslim Mujhahid Party,1,0,0,0,710,0%
162,Akhil Bharatiya Shivsena Rashtrawadi,3,0,0,0,703,0%
163,National Republican Party,1,0,0,0,694,0%
164,Hind Kisan Mazdoor Party,2,0,0,0,614,0%
165,Akhil Bhartiya Loktantra Party,1,0,0,0,609,0%
166,Hind Morcha,1,0,0,0,590,0%
167,Punjab Pradesh Vikash Party,1,0,0,0,576,0%
168,Uttar Pradesh Republican Party,1,0,0,0,552,0%
169,Kranti Dal,1,0,0,0,501,0%
170,Bharatiya Jan Jagruti Party,2,0,0,0,494,0%
171,Akhil Bharatiya General Labour Party,1,0,0,0,412,0%
172,Bharatiya Asht Jan Party,1,0,0,0,363,0%
173,Telangana Praja Party,1,0,0,0,344,0%
174,Rashtriya Rajdhani Congress Delhi,1,0,0,0,343,0%
175,Akhil Bharatiya Rashtriya Azad Hind Party,1,0,0,0,306,0%
176,Rashtriya Janta Congress,1,0,0,0,297,0%
177,Akhil Bharatiya Ram Rajya Parishad (PREM BALLABH VYAS),1,0,0,0,150,0%
178,Indian Republican Front,1,0,0,0,118,0%
