Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes
58,Peoples Democratic Party,8,0,0,0,"65,641",0%
59,Amara Bengali,18,0,0,0,"65,595",0%
60,Mahabharat Peples Party,1,0,0,1,"64,266",0%
61,Chhattisgarh Mukti Morcha,3,0,0,1,"60,361",0%
62,Jharkhand People's Party,5,0,0,0,"58,132",0%
63,Bahujan Samaj Party (AMBEDKAR),7,0,0,0,"52,585",0%
64,Tripura Upajati Juba Samity,2,0,0,0,"52,300",0%
65,Akhil Bharatiya Jan Sangh,25,0,0,0,"49,978",0%
66,Satya Marg Party,31,0,0,0,"48,056",0%
67,Sikkim Sangram Parishad,1,0,1,0,"42,175",0%
68,Lok Hit Party,1,0,0,0,"37,127",0%
69,United Tribal Nationalists Liberation Front,1,0,0,0,"34,803",0%
70,Pavitra Hindustan Kaazhagam,15,0,0,0,"34,147",0%
71,Marxist Communist Party Of India (S.S.SRIVASTAVA),2,0,0,0,"33,900",0%
72,Kannada Chalevali Vatal Paksha,2,0,0,0,"31,136",0%
73,Akhil Bharatiya Bhrastachar Normoolan Sena,6,0,0,0,"30,970",0%
74,Hul Jharkhand Party,3,0,0,0,"30,220",0%
75,Bhoomijotak Samooh,8,0,0,0,"29,874",0%
76,Proutist Sarva Samaj Samiti,22,0,0,0,"26,403",0%
77,Akhil Bhartiya Loktantra Party,12,0,0,0,"25,131",0%
78,Republican Party Of India (A),1,0,0,0,"22,640",0%
79,Uttar Pradesh Republican Party,8,0,0,0,"22,515",0%
80,Anaithinthiya Thamizhaga Munnetra Kazhag,4,0,0,0,"19,394",0%
81,New India Party,1,0,0,0,"19,135",0%
82,Bhatiya Krishi Udyog Sangh,11,0,0,0,"17,744",0%
83,Indian National League,8,0,0,0,"15,954",0%
84,Jan Parishad,1,0,0,0,"15,112",0%
85,Rashtriya Nayay Party,2,0,0,1,"13,160",0%
86,Lok Dal,9,0,0,0,"11,957",0%
87,Shoshit Samaj Dal,11,0,0,0,"11,937",0%
88,Bahujan Kranti Dal (JAI),15,0,0,0,"11,735",0%
89,Mahakushal Vikas Party,2,0,0,0,"11,152",0%
90,Jansatta Party,3,0,0,0,"10,901",0%
91,Bharatiya Minorities Suraksha Mahasangh,10,0,0,0,"10,657",0%
92,Republican Party Of India (DEMOCRATIC),1,0,0,0,"10,072",0%
93,Gondvana Gantantra Party,1,0,0,0,"9,985",0%
94,Pragtisheel Manav Samaj Party,6,0,0,0,"9,974",0%
95,Akhil Bharatiya Berozgaar Party,12,0,0,0,"9,813",0%
96,Janhit Morcha,2,0,0,0,"9,404",0%
97,Hindustan Janata Party,2,0,0,0,"9,208",0%
98,Rashtriya Samajwadi Party 'pragatisheel',5,0,0,0,"8,779",0%
99,Lok Party,3,0,0,0,"8,758",0%
100,Pachim Banga Rajya Muslim League,3,0,0,0,"8,624",0%
101,Republican Party Of India (KHOBRAGADE),3,0,0,0,"8,491",0%
102,Akhil Bhartiya Janata Vikas Party,5,0,0,0,"7,726",0%
103,Arya Sabha,3,0,0,0,"7,563",0%
104,Bharatiya Jan Sabha,2,0,0,0,"7,338",0%
105,Republican Presidium Party Of India,2,0,0,0,"7,298",0%
106,Bahujan Kranti Dal,9,0,0,0,"6,968",0%
107,Political Party Of National Management Service,8,0,0,0,"6,667",0%
108,Rashtriya Surajya Parishad,3,0,0,0,"6,000",0%
109,Samajwadi Janata Party (MAHARASHTRA),3,0,0,0,"5,784",0%
110,Maharashtra Pradesh Krantikari Party,1,0,0,0,"5,765",0%
111,Akhil Bartiya Manav Seva Dal,1,0,0,0,"5,673",0%
112,National Republican Party,1,0,0,0,"5,271",0%
113,Indian Democratic Party,3,0,0,0,"5,084",0%
114,Bharatiya Lok Tantrik Mazdoor Dal,3,0,0,0,"5,075",0%
115,Surajya Party,1,0,0,0,"4,917",0%
116,Akhil Bharat Hindu Mahasabha,6,0,0,0,"4,720",0%
117,Rashtriya Aikta Manch,8,0,0,0,"4,574",0%
118,National Democratic Peoples Front,3,0,0,0,"4,462",0%
119,Bolshevik Party Of India,3,0,0,0,"4,345",0%
120,Bharatiya Lok Panchayat,2,0,0,0,"4,018",0%
121,Bharatiya Rashtriya Party,2,0,0,0,"3,724",0%
122,Rashtriya Kisan Party,1,0,0,0,"3,635",0%
123,Akhil Bharatiya Mahasand Sarvahara Krantikari Party,8,0,0,0,"3,552",0%
124,Bharatiya Labour Party,4,0,0,0,"3,550",0%
125,Rashtriya Unnatsheel Das,2,0,0,0,"3,476",0%
126,Rashtriya Samdarshi Party,2,0,0,0,"3,360",0%
127,Vijeta Party,1,0,0,0,"3,328",0%
128,Satyayug Party,5,0,0,0,"3,319",0%
129,Bharatiya Rashtriya Morcha,4,0,0,0,"3,181",0%
130,Rashtriya Mazdoor Ekta Party,6,0,0,0,"3,176",0%
131,Marxist Engelist Leninist Proletariat Health Commune,3,0,0,0,"3,155",0%
132,Akhil Bharatiya Rashtriya Azad Hind Party,3,0,0,0,"3,152",0%
133,Bahujan Samaj Party (RAJ BAHADUR),4,0,0,0,"3,114",0%
134,Socialist Party (LOHIA),2,0,0,0,"3,006",0%
135,Kannada Paksha,2,0,0,0,"2,883",0%
136,Bharatiya Manav Raksha Dal,1,0,0,0,"2,796",0%
137,Akhil Bharatiya Dalit Utthan Party,2,0,0,0,"2,654",0%
138,Akhil Bharatiya Desh Bhakt Morcha,2,0,0,0,"2,295",0%
139,Indian Secular Congress,6,0,0,0,"2,136",0%
140,Bira Oriya Party,1,0,0,0,"2,088",0%
141,Republican Party Of India (SIVARAJ),1,0,0,0,"2,081",0%
142,Bharathiya Nethaji Party,2,0,0,0,"2,024",0%
143,Bharatiya Rajiv Congress,1,0,0,0,"1,967",0%
144,Bharatiya Jantantrik Parishad,1,0,0,0,"1,867",0%
145,Ekta Samaj Party,5,0,0,0,"1,852",0%
146,Congress Of People,1,0,0,0,"1,850",0%
147,Revolutionary Communist Party Of India (RASIK BHATT),1,0,0,0,"1,803",0%
148,Bhartiya Ekta Party,3,0,0,0,"1,801",0%
149,Shoshit Samaj Party,4,0,0,0,"1,684",0%
150,Samajwadi Dal,1,0,0,0,"1,637",0%
151,Akhil Bharatiya Shivsena Rashtrawadi,6,0,0,0,"1,477",0%
152,Bharatiya Kranti Sena,1,0,0,0,"1,439",0%
153,Indian Democratic People's Party,1,0,0,0,"1,438",0%
154,Ekta Krandi Dal U.P.,3,0,0,0,"1,409",0%
155,Indian Bahujan Samajwadi Party,2,0,0,0,"1,376",0%
156,Sarvadharam Party (MADHYA PRADESH),3,0,0,0,"1,327",0%
157,Peoples Democratic League Of India,1,0,0,0,"1,276",0%
158,Punjab Vikas Party (PUNJAB),1,0,0,0,"1,185",0%
159,Desh Bhakt Party,3,0,0,0,"1,148",0%
160,Sabjan Party,5,0,0,0,"1,120",0%
161,Akhil Bharatiya Lok Tantrik Alp-Sankhyak Jan Morcha,1,0,0,0,"1,111",0%
162,Kisan Vyawasayee Mazdoor Party,2,0,0,0,"1,056",0%
163,Pratap Shiv Sena,1,0,0,0,"1,049",0%
164,Adarsh Lok Dal,2,0,0,0,"1,037",0%
165,Gareebjan Samaj Party,1,0,0,0,962,0%
166,Akhil Bharatiya Dharmnirpeksh Dal,3,0,0,0,894,0%
167,All India Azad Hind Mazdur & Jan Kalyan Party,3,0,0,0,883,0%
168,Bahujan Loktantrik Party,2,0,0,0,857,0%
169,Socialist Party (RAMAKANT PANDEY),1,0,0,0,848,0%
170,Manav Sewa Sangh,3,0,0,0,841,0%
171,Bharatiya Samajwadi Vikas Party,2,0,0,0,805,0%
172,Akhil Bhartiya Rajarya Sabha,3,0,0,0,787,0%
173,Indian Union Muslim League,4,0,0,0,786,0%
174,Akhil Bharatiya Ram Rajya Parishad,2,0,0,0,724,0%
175,Ambedkar Kranti Dal,2,0,0,0,667,0%
176,Bhartiya Jan Kisan Party,2,0,0,0,633,0%
177,Mahabharath Mahajan Sabha,1,0,0,0,572,0%
178,Bharatiya Samaj Sangathan Morcha,2,0,0,0,535,0%
179,Rashtriya Bharat Nav Nirman Sangathan,1,0,0,0,528,0%
180,Samajik Kranti Dal,1,0,0,0,522,0%
181,Rashtriya Krantikari Dal,1,0,0,0,520,0%
182,Bharat Jan Party,1,0,0,0,505,0%
183,Hind National Party,2,0,0,0,496,0%
184,Sachet Bharat Party,1,0,0,0,470,0%
185,Bhartiya Azad Party,1,0,0,0,457,0%
186,Bhrishtachar Virodhi Dal,2,0,0,0,434,0%
187,Akhil Bharatiya Ram Rajya Parishad (PREM BALLABH VYAS),1,0,0,0,428,0%
188,Tamil Nadu Hindu Vellalar Youth Kazhagam,1,0,0,0,422,0%
189,Pragati Sheel Party,1,0,0,0,407,0%
190,Socialist League Of India,1,0,0,0,384,0%
191,United Indian Democratic Council,1,0,0,0,374,0%
192,Rashtriya Samaj Sevak Dal,1,0,0,0,348,0%
193,Akhil Bhartiya Kisan Mazdoor Morcha,1,0,0,0,345,0%
194,Hindu Praja Party,1,0,0,0,332,0%
195,Janata Kranti Congress,1,0,0,0,324,0%
196,Mukt Bharat,1,0,0,0,295,0%
197,Jan Swarajya Party,1,0,0,0,278,0%
198,Gujarat Janta Parishad,1,0,0,0,266,0%
199,Bharat Pensioner's Front,1,0,0,0,231,0%
200,Bharatiya Parivartan Morcha,1,0,0,0,231,0%
201,All India Democratic People Federation,1,0,0,0,195,0%
202,Akhil Bharatiya Jagrook Nagrik Dal,1,0,0,0,176,0%
203,Federation Of Sabhas,1,0,0,0,142,0%
204,Hind Kisan Mazdoor Party,1,0,0,0,131,0%
205,Poorvanchal Rashtriya Congress,1,0,0,0,124,0%
206,Kranti Dal,1,0,0,0,112,0%
207,Jan Ekata Morcha,1,0,0,0,94,0%
208,Bharatiya Sarvkalyan Krantidal,1,0,0,0,89,0%
209,Manav Samaj Party,1,0,0,0,74,0%
210,Labour Party Of India (V.V. PRASAD),1,0,0,0,68,0%
211,Bharatiya Rashtrawadi Dal,1,0,0,0,53,0%
