Interview_ID,Response,Respondent_Type,Respondent_Affiliation,Location,States_Mentioned,Variables_Referenced,Relationship_Type,Direction_of_Effect,Causal_Path,Channel,Outcome_Reference,Importance_Rating
R6,"Their role is to remain secular and to treat everyone equally. For instance, during the previous BJP government, incidents of mob lynching had increased significantly. Lynchings were happening over everything, not just between Hindus and Muslims but also between Christians and Santhals. There were cases where Christian converts among Adivasis started facing hostilities. A climate was created where Hindus and Muslims were pitted against each other, and at the same time, Christians and Adivasis were also in conflict. One has to examine what the agenda behind this was. In the previous BJP government, there were instances where those who had carried out mob lynchings were not only released from jail but were garlanded and honored by BJP leaders upon their release. When such criminals are publicly celebrated, it emboldens others to commit similar crimes because they see that these actions are not punished but rather rewarded. That is why, regardless of which caste or religion a criminal belongs to, they should not be encouraged, and they should not be shielded. This country belongs to everyone, and every caste and religion has played a role in its history and development. If you take pride in the Taj Mahal being one of the Seven Wonders of the World, then you should not harbor hatred toward the people who built it.",Government,JMM,Jharkhand,Jharkhand;BJPStates,PartyRule,Mechanism,DecreasesDemocracy,BJP rule -> Hindutva agenda -> increased polarization -> subnational backsliding,Electoral,NA,2
R6,"[So, under the JMM government, what changes took place that led to these issues being addressed?] Change does not happen overnight, but one major difference is that mob lynching has stopped. People no longer live in fear. The atmosphere is such that anyone can go anywhere freely now. This was achieved because crimes like mob lynching were not ignored. If political leaders and law enforcement turn a blind eye to such crimes, then the perpetrators become more confident, and the incidents increase. But when strict action is taken, when the police and administration are firm, and when people know that they will face severe punishment for committing such acts, they stop doing them. This is exactly what happened. If riots or disturbances break out, it is up to the administration to decide whether to protect the rioters or to punish them. If the administration protects them, then they will repeat their actions. If they punish them, then law and order are maintained. So, ultimately, it is in the hands of the state government and the political party in power to determine what kind of environment they want to create.",Government,JMM,Jharkhand,Jharkhand;OppositionStates,PartyRule,Causal,IncreasesDemocracy,Opposition rule -> favours democratic values -> subnational stability,Electoral,NA,5
R7,"Now, coming to political parties—there is the ruling party and the opposition. Naturally, if a crisis threatens democracy, it will come from the ruling side. In response, the opposition will stand against it—not necessarily out of concern for the country but because they need to protect their own existence. If they truly cared for the nation, then such a situation would not arise in the first place. From what I have observed, having worked in government and alongside those in power, political actors primarily struggle for their own survival. When their survival is at risk, their resistance becomes stronger.",Civil,Neutral,India,NA,PartyRule;Mobilization,Causal;Mediating,IncreasesDemocracy,Opposition rule -> democratic threats from the centre -> risk to the survival of the opposition -> mobilization of opposing forces -> subnational stability,Electoral,NA,4
R8,"Let me emphasize that democracy is not inherent—it must be cultivated. It requires continuous struggle. What we see in India today is the result of forces attempting to bring in authoritarian regimes. But opposing forces have also emerged, resisting these attempts. Whatever remains of democracy today exists because of this ongoing struggle, and whatever survives in the future will also depend on it.",Civil,SFI,Delhi,NA,PartyRule;Mobilization,Causal;Mediating,IncreasesDemocracy,Opposition rule -> democratic threats from the centre -> risk to the survival of the opposition -> mobilization of opposing forces -> subnational stability,Mobilization,NA,3
R8,"Now, if we look at the trend in recent years, we can see that this has always been the case. Since independence, initially, Congress dominated everywhere—it had a hegemony, with its governments in nearly all states. But later, other governments emerged, led by political parties from different ideological camps. Communist governments came to power, first in Kerala and later in Bengal, where they remained in power for a long time. The Janata Party government was formed in Kerala at one point. Later, socialist governments, representing the ideals of social democracy, also came into power in certain states. So, Indian democracy has never had a unitary character—it has never been exclusively socialist, rightist, or communist. Different states have had governments formed by parties with distinct ideological orientations, while at the center, a different party might have been in power.",Civil,SFI,Delhi,West_Bengal;Kerala;OppositionStates,PartyRule,Mechanism,Both,Multiple elections -> multiple parties competing -> different outcomes of democracy,Electoral,NA,3
R8,"However, in recent years, what has happened is that a majority of provincial governments are either directly led by the ruling party at the center or by their allied parties. Around 17 or 18 states—perhaps around 20, though I cannot say for certain—have governments that are either directly run by the BJP or formed with their support. In these states, the relationship between the center and the state remains normal. But in states where the ruling party belongs to an opposition camp, there is constant struggle between the center and the state. There is an ongoing power struggle, a continuous political battle. So, the situation is not the same across all states. Bihar has one scenario, Bengal has another, and Kerala has yet another. But ultimately, the dominant forces in India will always be those that rule at the center. Most government policies are dictated by the center, and therefore, democracy does not function in the same way everywhere; its strength and nature vary from state to state.",Civil,SFI,Delhi,Bihar;West_Bengal;Kerala;OppositionStates,PartyRule;Mobilization,Causal;Mediating,IncreasesDemocracy,Opposition rule -> democratic threats from the centre -> risk to the survival of the opposition -> mobilization of opposing forces -> subnational stability,Electoral,NA,2
R8,"It is not that all opposition-led states are perfectly democratic. If a matter is related to a rival political camp, then even opposition-led states often violate fundamental rights. Take Bengal, for instance—Bengal is governed by the opposition, by the TMC under Mamata Banerjee. Yet, even there, a cartoonist can be jailed for making a caricature of Mamata Banerjee. The police can arrest people for that. This has happened. Similarly, if you look at the center, people have been imprisoned without charges for five or six years. Whether it is a particular case in Jharkhand or the case of Father Stan Swamy, an activist who died in jail without even facing trial, these instances reflect a trend. Chargesheets are not filed, trials do not begin, and yet people remain imprisoned for years. This tendency is stronger in the current central government—it has been more aggressive in curbing democratic freedoms and fundamental rights. However, this tendency is also present in opposition-led states, especially when it involves activists or members of rival political parties. The difference between the center and these states is a matter of degree, but such instances do exist across the board, though they are fewer in number in opposition-ruled states.",Civil,SFI,Delhi,West_Bengal;Jharkhand;OppositionStates,PartyRule,Mechanism,DecreasesDemocracy,Opposition rule -> dissent -> suppression by copying the autocratizers -> subnational backsliding,NA,NA,5
R8,"If we take fundamental rights as a basis, for example, the right to practice any religion, the right to worship in one’s own way, and the right to propagate one's religion—this can be a major parameter. If we look at West Bengal, although it is often accused of Muslim minority appeasement, I consider that to be an incorrect characterization. That state still upholds these rights. The government of Kerala also upholds these rights. At the very least, I can say that the ruling party in Kerala does not discriminate based on religion. The same can be said for Tamil Nadu under the DMK government—they do not discriminate on the basis of religion. However, I cannot say the same for the government of Uttar Pradesh or the government of Assam. These are BJP-ruled states, governed by the right-wing, and their actions exhibit clear religious intolerance, particularly against minorities. This is evident in their actions. When a crime is committed, people from one religious group are arrested and punished, while those from another group are not subjected to the same action. This contrast in governance is visible across states.",Civil,SFI,Delhi,West_Bengal;Kerala;Tamil_Nadu;Uttar_Pradesh;Assam;OppositionStates;BJPStates,PartyRule,Mechanism,Both,Opposition rule -> favours democratic values -> subnational stability;BJP rule -> Hindutva agenda -> increased polarization -> subnational backsliding,Electoral,Both,5
R8,"Even in opposition-ruled states, certain issues are handled in ways that mirror the central government's approach. For example, regarding freedom of expression, some opposition-ruled states have also shown a tendency to suppress dissent, just like the central government.",Civil,SFI,Delhi,OppositionStates,PartyRule,Mechanism,DecreasesDemocracy,Opposition rule -> dissent -> suppression by copying the autocratizers -> subnational backsliding,NA,NA,5
R8,"Now, how does such a party [referring to the BJP] mobilize its base? If it does not pitch Hindus against Muslims, how will it consolidate its support? It has to do this; it is an essential part of its strategy. On the other hand, the opposition parties I mentioned do not rely on Hindu-Muslim polarization because their political appeal is not based on such divisions. For them, the challenge is different.",Civil,SFI,Delhi,OppositionStates;BJPStates,PartyRule,Mechanism,Both,Opposition rule -> favours democratic values -> subnational stability;BJP rule -> Hindutva agenda -> increased polarization -> subnational backsliding,Electoral,NA,4
R8,"There is, however, an easier route [for the BJP to mobilize voters]: find a large external enemy. If an enemy can be identified, then people can be mobilized against it. Who can serve as the common enemy? It could be people belonging to another religion—Muslims or Christians—who live in India with a distinct identity. The BJP targets religious minorities who maintain a strong identity and religious distinctiveness and portrays them as enemies. They draw upon historical incidents, highlight selective narratives, and use these to create mobilization.",Civil,SFI,Delhi,BJPStates,PartyRule,Mechanism,DecreasesDemocracy,BJP rule -> Hindutva agenda -> increased polarization -> subnational backsliding,Electoral,NA,4
R10,"Even in Tamil Nadu, when there was a bill passed by the state government, and the BJP-appointed government sat on it for three years and only passed it when High Court slapped them.",Government,AAP,Delhi,Tamil_Nadu,SubnationalAutonomy,Mechanism,IncreasesDemocracy,Opposition passes a bill -> central government delays approval -> judiciary checks centre -> subnational stability,Judicial,NA,3
R10,"What is a political party? It is a name. It is a tag. There should be people involved as well, right? There are four political parties at the national level, including AAP. But this will be there only when there are people. The people who have joined us, in the last ten-twelve years we have made them understand that there can be politics of honesty. School, healthcare, electricity, water, locality, pension – all these issues which affect your life and make you save money during the time of inflation, the people have understood and been convinced. So, even if their propaganda works everywhere, it does not work in Delhi. BJP wins the entire world but loses in Delhi. The people will start understanding. It will happen slowly.",Government,AAP,Delhi,Delhi;OppositionStates,PartyRule;Mobilization,Causal;Mediating,IncreasesDemocracy,Opposition rule -> favours democratic values -> people support this -> subnational stability,Electoral,OutcomeStability,4
R10,"BJP doesn’t like there to be a contrary position at all. They are scared. They are too much attached to power, and the idea or the feeling that they might have to lose it, they are scared of this idea and thus they want to crush the opposition at all costs. I don’t blame the BJP for the kind of politics that they do. There are more than 1500 political organizations registered in the country. They are all free to practice their political beliefs. But it must not at any cost mean that I will crush the opposition or any other idea that doesn’t align with my ideas. BJP is trying to do that. What has changed is that the BJP has stopped respecting the federal structure in this country. And if you will not respect the federal structure, it means you will not respect the constitution. The recent example is of Chandigarh. Mayor election took place in Chandigarh. BJP made its man, who had the authority, the Presiding Officer. That man admitted live on camera that he had tampered with the ballot papers. If you are not winning the elections, then you are buying people. 2014 onwards, BJP ne 270, one minute, I will give you the precise data. Since 2014, 253 candidates from the opposition parties—when I say candidates, they might be MLA/MP candidates—have joined the BJP. Why? Because they are beautiful or lovely? No. They are either being threatened that they will be raided by the CBI or jailed, or they are given cash.",Government,AAP,Delhi,Chandigarh;BJPStates,PartyRule,Causal,DecreasesDemocracy,BJP rule -> employ undemocratic methods for own gain -> subnational backsliding,NA,OutcomeBacksliding,4
R10,"Precipitation of ideas—it starts from the top. From there, wherever the precipitate is going, it is going. Go to any state: If there is an anti-BJP government, there is competition in democracy but there is chaos in centre-state relations, and if there is a pro-BJP government, then there is peace but there is no governance because they do not have any concept or plan. Before what the BJP was doing, there was a space, this space for the opposition used to be there in states. BJP has been gradually, silently...not just silently, they are not even pretending, they are doing this openly and blatantly, I won’t say silently. They’ve been working very hard to shrink that space for the opposition. For example, a recent example of Madhya Pradesh. Sindhya joined, was lured or threatened, whatever they could do they did it. And now, talks are that the first line of leadership, the ex-CM with his son and ten or twelve past MLAs are going to join the BJP. Space is gone. Where is the Space? There is a public who does not want to vote for the BJP, but there are no leaders who are leading them. There are compartments, but no engine. So, BJP wants to finish them off slowly and bring them to itself in some way or the other, so that they are not opposed there. If they are all singing the same tune in a state, there will be no opposition to them. Then they will do whatever they want.",Government,AAP,Delhi,Madhya_Pradesh;BJPStates,PartyRule,Causal,DecreasesDemocracy,BJP rule -> employ undemocratic methods for own gain -> subnational backsliding,NA,OutcomeBacksliding,3
R10,"No one is doing it [following the definition of democracy], only we are doing it. It is happening only in states, nowhere else. 70-80% of the population in Delhi are hardworking people. Earlier the network of private schools in Delhi was so strong that nobody could break it. The condition of government schools was bad, no one would take admission. We fixed that system. Children of rich and millionaires do not study in that system, children of poor people and laborers do. Today, the situation is such that every year, 3-3.5 lakh names are cut from private schools and entered public schools; it has become so wonderful. So, for whom did we do it? For those for whom the earlier system did not work. Those who did not have Max Hospital, those who did not have GD Goenka or Sanskriti school.",Government,AAP,Delhi,Delhi;OppositionStates,PartyRule,Mechanism,IncreasesDemocracy,Opposition rule -> favours democratic values -> subnational stability,NA,NA,2
R10,"The politics of the BJP is the same everywhere. You can go anywhere. Even in Karnataka, their politics is the same this time; they’ve been doing this for a long time. Fortunately, the people of Karnataka realized, and they voted them out of Karnataka. They still won a lot of seats, of course they couldn’t reach the magic number. But they still got a lot of seats there. And even now the laboratory of BJP's politics is the same - Shimoga and the southern part of Karnataka. They keep trying. They are doing it even now. You see, through CAA and NRC they did polarization in the entire Northeast. So, their agenda is the same.",Government,AAP,Delhi,Karnataka;Northeast;BJPStates,PartyRule,Mechanism,DecreasesDemocracy,BJP rule -> Hindutva agenda -> increased polarization -> subnational backsliding,Electoral,NA,3
R10,"You tell me about even one person who does not want good schools. But he is not asking any questions about good schools. And when he is not asking questions, BJP's propaganda is reaching him. He feels that later on, someone from another religion might come and take his life. This will become a mess, so let's vote for BJP only. This is going on everywhere. It is the politics of fear, of terror. BJP is trying everywhere to keep that fear alive. You should understand that it is not as if what is happening in Rajasthan is being done by BJP only for Rajasthan. It is happening in Rajasthan, but its effect is also being felt in Tamil Nadu. And if in Tamil Nadu someone gives a statement to provoke anti-Hindus, on that BJP is running campaigning on WhatsApp even in Delhi. “Look, a political organization of Indian alliance is speaking like this about our Hindus. She is doing that, she is doing it everywhere.",Government,AAP,Delhi,BJPStates,PartyRule,Mechanism,DecreasesDemocracy,BJP rule -> Hindutva agenda -> increased polarization -> subnational backsliding,Electoral,NA,3
R10,"Tomorrow, the regime can change and if a person with the right intention sits on the driving seat, he will take the bus to the right destination.",Government,AAP,Delhi,NA,PartyRule,Causal,IncreasesDemocracy,Opposition rule -> favours democratic values -> subnational stability,Electoral,NA,5
R10,"Now whatever you were saying about majoritarianism, just look at the majority population here. BJP ignites...manipulates the ""fear factor"" within them and gets people to vote for it. By increasing the religious divide...by creating fear in each other's minds...Bharatiya Janata Party gets people to vote in its favour. And they keep increasing this fear, this gap, through some means or the other. That's their politics.",Government,AAP,Delhi,BJPStates,PartyRule,Mechanism,DecreasesDemocracy,BJP rule -> Hindutva agenda -> increased polarization -> subnational backsliding,Electoral,NA,3
R11,"One thing that is clearly visible is that in the states where the BJP has ruled for a long time—like the case of Gujarat or Madhya Pradesh and now at least Uttar Pradesh and wherever they are able to repeat themselves—political competition has reduced considerably. They’re basically one-party states. We can definitely say this about Gujarat. It's a one-party state. The opposition is very weak. Very, very weak. There are no social or political movements. Everything is very controlled. Another model which is emerging in Uttar Pradesh is kind of a “police state,” where an ideologically powerful party is penetrating in different apparatuses of the state and using the state force to crush political dissenters. So, slowly and slowly the trend is visible in UP also, but right now there is still some competition in UP; I would not say that the competition is completely over. But at least in their biggest laboratory Gujarat, it’s a one-party rule. Completely. And it’s an ideological state, which means the whole state and its apparatuses are not indifferent to ideology; they are actually aligned with the ideology of the governing party. From the media to the judiciary to the executive in these states, everything. And slowly, you know, we are witnessing the same things happening in Madhya Pradesh. Next maybe UP if the BJP continues in ten years. Rajasthan may be kind of a sitting duck. It is open to good competition, but Congress is in opposition, and it is a weak opposition. Still, members and parties are changing, so you never know there.",Media,Neutral,India,Gujarat;Madhya_Pradesh;Uttar_Pradesh;BJPStates,PartyRule,Causal,DecreasesDemocracy,BJP rule -> ideological hegemony -> reduced electoral competition -> subnational backsliding ,Electoral,OutcomeBacksliding,5
R12,"No no, not all of the states are threatened [democratically]. Basically, there is only one central leader in India—Modi. No one exists except Modi. So, everything is Modi-centric. Even in some BJP states, the situation is not that bad. Although, even Yogi in UP is authoritarian. But they [BJP state leaders] are not so bad and so dictatorial as this guy Modi, which is getting reflected in our indexes.",Bureaucrat,Neutral,Delhi,Uttar_Pradesh;BJPStates,PartyRule,Descriptive,Both,BJP rule -> different states -> different democratic outcomes,NA,NA,3
R12,"There was a session of three finance ministers, in which Chidambaram, the serving Finance Minister of Kerala, and just past Finance Minister of Tamil Nadu, studied from Harvard etc. All three made the case that through GST they have destroyed economic federalism and turned the states into beggars. Then in greater detail, in the Finance Commission, 32% of the share devolving into states was increased to 42. But after a little modification it became 41%. Then they say that everything has been since neutralized, now it is 30-32%. Because what they did was make it cesses and surcharges. Before, income tax and other taxes were divisible between centre and state. Cess and surcharges now are entirely for central government. Through this they increased their income, their share. Then there were central sponsored schemes, whose normal formula was 80-20. 80 from the centre and 20 from the state. First, they have reversed that. That the states should give 80 themselves, 20% will be given by Indian government. And they also turned the entire state into beggars. If you google, there is a 3-minute video of Tamil Nadu's finance minister. It is so brilliant; He tells the whole thing, look in what ways they have made us a beggar. They have made him an absolute beggar. Then the third thing which I did in this, and I have made a point today which everyone has registered. I said, sir, when this term was used - double engine government - everybody laughed. I said this is the biggest attack on democracy and federalism. What does it mean? If you don't vote for my party, I will starve your state's funds. Bastard, are these your father's funds? Do you give this from your own pocket? This term, look, I said I am surprised that you have so many professors sitting here, but who protested against this? And if there is someone from the media, which media protested against this? They were all just lost in the “funny nature” of the term. It’s the most dangerous attack and statement on democracy—this double engine sarkar. If you give a ticket to my party and vote for me, then I will give your states the funds, otherwise they will not get it, you will starve. These are the things said by these three finance ministers. We are being treated as beggars just for asking our dues. While 70% of the income comes from the states, only 30% will be returned—states are now contributing to the central government getting more funds. But centre gives it back to states by making them cry and making them beggars. This is a great attack on democracy and federalism... Authoritarian regime is confirmed.",Bureaucrat,Neutral,Delhi,Kerala;Tamil_Nadu;OppositionStates,PartyRule;FiscalDependence;EconomicDevelopment,Causal;Mediating;Mediating,DecreasesDemocracy,Opposition rule -> withheld central funds -> stunted development -> subnational backsliding,Economic,NA,4
R12,"Yeah, today this question also came up that why are some states not really protesting as much as the Southern states are? For one, the BJP states will not protest at all. They are their stooges; they are their creation. So only opposition-ruled states can protest. Odisha is opposition-ruled but they also have an alliance. They do not protest. Mamta Banerjee does it. DMK does it. Kerala is doing it. These people are doing something, others are not doing anything.",Bureaucrat,Neutral,Delhi,Odisha;West_Bengal;Kerala;Tamil_Nadu;OppositionStates,PartyRule;FiscalDependence;Mobilization;CoalitionPolitics,Causal;Mediating;Mediating;Causal,Both,Opposition rule -> withheld central funds -> mobilize against centre -> subnational stability;BJP-led coalition -> apathetic towards central encroachment -> subnational backsliding,Mobilization,NA,3
R12,"It is surprising in India that people have so much patience, just look at the demonetization, people stood in line for four to five months. How many died? But they still voted for the BJP. During COVID, lakhs of people walked a thousand kilometers, hundreds died, but they still voted for the BJP. This is the politics of polarization, that Muslims, Pakistan, Muslims, Pakistan – they have used it all. Like Pulwama. Before Pulwama, the condition of BJP was very bad. Which is why many people including the former governor Malik say that Pulwama was their creation, to create a narrative that only Pakistan and Modi ji can save it. So, people got scared. People are idiots. A certain Justice Markande had said that 95% are idiots. So, earlier I too felt bad that what nonsense they were talking about. But with hindsight, it is correct. Really Indians are stupid. Despite all this they still vote for the BJP. Unemployment in youth. So much unemployment...highest unemployment in 43 years. Tell the youth of Bihar, UP that if you want a job then bring the head of a Muslim, you will get a job of some kind. Only Modi can do this. They have done such brainwashing of these blind people; this is why they win the elections. People forget about joblessness. Even if Modi remains silent, polarization is running on autopilot.",Bureaucrat,Neutral,Delhi,Bihar;Uttar_Pradesh;BJPStates,PartyRule,Mechanism,DecreasesDemocracy,BJP rule -> Hindutva agenda -> increased polarization -> subnational backsliding,Electoral,NA,3
R14,"If the same party governs both the center and the state, it generally leads to better cooperation. In such cases, state governments work actively to implement the central government's policies and provide full support in achieving their objectives. However, when different parties govern the center and the states, challenges arise. There can be conflicts between the two, especially if the state lacks sufficient resources of its own. States then become more dependent on the central government for development. For instance, after the implementation of GST, states rely on the central government for their share of revenue. If the same party governs at both levels, states tend to benefit more because there is smoother alignment in policy implementation and resource allocation.",Government,BJP,Uttarakhand,OppositionStates,PartyRule;FiscalDependence,Causal;Mediating,DecreasesDemocracy,Opposition rule -> withheld central funds -> stunted development -> subnational backsliding,Economic,NA,2
